date	BTC/ETH	n	sma-100	ema-20	δ	max δ	min δ
2024-03-04	18.8216	1	18.8216	18.8216	0.0000	0.0000	0.0000
2024-03-05	17.9471	2	18.3843	18.3843	0.4372	0.4372	0.0000
2024-03-06	17.3089	3	18.0259	18.0259	0.7169	0.7169	0.0000
2024-03-07	17.2740	4	17.8379	17.8379	0.5639	0.7169	0.0000
2024-03-08	17.5486	5	17.7800	17.7800	0.2315	0.7169	0.0000
2024-03-09	17.4943	6	17.7324	17.7324	0.2381	0.7169	0.0000
2024-03-10	17.7417	7	17.7337	17.7337	-0.0080	0.7169	-0.0080
2024-03-11	17.9085	8	17.7556	17.7556	-0.1529	0.7169	-0.1529
2024-03-12	17.9589	9	17.7782	17.7782	-0.1807	0.7169	-0.1807
2024-03-13	18.2454	10	17.8249	17.8249	-0.4205	0.7169	-0.4205
2024-03-14	18.3271	11	17.8705	17.8705	-0.4565	0.7169	-0.4565
2024-03-15	18.8274	12	17.9503	17.9503	-0.8771	0.7169	-0.8771
2024-03-16	18.6622	13	18.0050	18.0050	-0.6572	0.7169	-0.8771
2024-03-17	18.7664	14	18.0594	18.0594	-0.7070	0.7169	-0.8771
2024-03-18	19.3783	15	18.1474	18.1474	-1.2310	0.7169	-1.2310
2024-03-19	19.5127	16	18.2327	18.2327	-1.2800	0.7169	-1.2800
2024-03-20	19.3300	17	18.2972	18.2972	-1.0327	0.7169	-1.2800
2024-03-21	18.7494	18	18.3224	18.3224	-0.4270	0.7169	-1.2800
2024-03-22	19.1316	19	18.3649	18.3649	-0.7666	0.7169	-1.2800
2024-03-23	19.2137	20	18.4074	18.4074	-0.8063	0.7169	-1.2800
2024-03-24	19.4674	21	18.4579	18.5083	-0.9591	0.7169	-1.2800
2024-03-25	19.4831	22	18.5045	18.6012	-0.8819	0.7169	-1.2800
2024-03-26	19.6170	23	18.5528	18.6979	-0.9191	0.7169	-1.2800
2024-03-27	19.8437	24	18.6066	18.8070	-1.0367	0.7169	-1.2800
2024-03-28	19.8650	25	18.6570	18.9078	-0.9572	0.7169	-1.2800
2024-03-29	19.9022	26	18.7049	19.0025	-0.8997	0.7169	-1.2800
2024-03-30	19.8536	27	18.7474	19.0836	-0.7701	0.7169	-1.2800
2024-03-31	19.7372	28	18.7827	19.1458	-0.5914	0.7169	-1.2800
2024-04-01	19.8863	29	18.8208	19.2163	-0.6700	0.7169	-1.2800
2024-04-02	19.9702	30	18.8591	19.2881	-0.6821	0.7169	-1.2800
2024-04-03	19.9251	31	18.8935	19.3488	-0.5763	0.7169	-1.2800
2024-04-04	20.2957	32	18.9373	19.4390	-0.8567	0.7169	-1.2800
2024-04-05	20.2931	33	18.9784	19.5203	-0.7727	0.7169	-1.2800
2024-04-06	20.4324	34	19.0212	19.6072	-0.8252	0.7169	-1.2800
2024-04-07	20.4050	35	19.0607	19.6832	-0.7218	0.7169	-1.2800
2024-04-08	19.3849	36	19.0697	19.6548	0.2698	0.7169	-1.2800
2024-04-09	19.7005	37	19.0868	19.6591	-0.0414	0.7169	-1.2800
2024-04-10	19.8903	38	19.1079	19.6811	-0.2091	0.7169	-1.2800
2024-04-11	19.9780	39	19.1302	19.7094	-0.2686	0.7169	-1.2800
2024-04-12	20.7287	40	19.1702	19.8065	-0.9222	0.7169	-1.2800
2024-04-13	21.3219	41	19.2227	19.9508	-1.3711	0.7169	-1.3711
2024-04-14	20.8236	42	19.2608	20.0339	-0.7896	0.7169	-1.3711
2024-04-15	20.4495	43	19.2884	20.0735	-0.3760	0.7169	-1.3711
2024-04-16	20.6851	44	19.3202	20.1318	-0.5533	0.7169	-1.3711
2024-04-17	20.5301	45	19.3470	20.1697	-0.3604	0.7169	-1.3711
2024-04-18	20.7150	46	19.3768	20.2216	-0.4934	0.7169	-1.3711
2024-04-19	20.8688	47	19.4085	20.2833	-0.5856	0.7169	-1.3711
2024-04-20	20.6633	48	19.4347	20.3194	-0.3438	0.7169	-1.3711
2024-04-21	20.6294	49	19.4591	20.3490	-0.2804	0.7169	-1.3711
2024-04-22	20.8760	50	19.4874	20.3992	-0.4769	0.7169	-1.3711
2024-04-23	20.6240	51	19.5097	20.4206	-0.2034	0.7169	-1.3711
2024-04-24	20.4716	52	19.5282	20.4254	-0.0462	0.7169	-1.3711
2024-04-25	20.4282	53	19.5452	20.4257	-0.0025	0.7169	-1.3711
2024-04-26	20.3681	54	19.5604	20.4202	0.0521	0.7169	-1.3711
2024-04-27	19.5006	55	19.5593	20.3326	0.8321	0.8321	-1.3711
2024-04-28	19.3435	56	19.5555	20.2384	0.8950	0.8950	-1.3711
2024-04-29	19.8546	57	19.5607	20.2019	0.3472	0.8950	-1.3711
2024-04-30	20.1298	58	19.5705	20.1950	0.0652	0.8950	-1.3711
2024-05-01	19.5189	59	19.5696	20.1306	0.6117	0.8950	-1.3711
2024-05-02	19.7858	60	19.5732	20.0978	0.3119	0.8950	-1.3711
2024-05-03	20.2639	61	19.5846	20.1136	-0.1503	0.8950	-1.3711
2024-05-04	20.4939	62	19.5992	20.1498	-0.3441	0.8950	-1.3711
2024-05-05	20.4100	63	19.6121	20.1746	-0.2354	0.8950	-1.3711
2024-05-06	20.6228	64	19.6279	20.2173	-0.4055	0.8950	-1.3711
2024-05-07	21.0506	65	19.6498	20.2966	-0.7539	0.8950	-1.3711
2024-05-08	20.5573	66	19.6635	20.3215	-0.2358	0.8950	-1.3711
2024-05-09	20.7783	67	19.6802	20.3650	-0.4133	0.8950	-1.3711
2024-05-10	20.8833	68	19.6979	20.4143	-0.4690	0.8950	-1.3711
2024-05-11	20.9017	69	19.7153	20.4607	-0.4410	0.8950	-1.3711
2024-05-12	20.9815	70	19.7334	20.5103	-0.4711	0.8950	-1.3711
2024-05-13	21.3272	71	19.7558	20.5881	-0.7390	0.8950	-1.3711
2024-05-14	21.3489	72	19.7780	20.6606	-0.6884	0.8950	-1.3711
2024-05-15	21.8229	73	19.8060	20.7713	-1.0516	0.8950	-1.3711
2024-05-16	22.1784	74	19.8380	20.9053	-1.2731	0.8950	-1.3711
2024-05-17	21.6740	75	19.8625	20.9785	-0.6955	0.8950	-1.3711
2024-05-18	21.4552	76	19.8835	21.0239	-0.4313	0.8950	-1.3711
2024-05-19	21.7012	77	19.9071	21.0884	-0.6128	0.8950	-1.3711
2024-05-20	19.3814	78	19.9003	20.9258	1.5444	1.5444	-1.3711
2024-05-21	18.4604	79	19.8821	20.6910	2.2306	2.2306	-1.3711
2024-05-22	18.7001	80	19.8673	20.5014	1.8013	2.2306	-1.3711
2024-05-23	17.7497	81	19.8412	20.2393	2.4897	2.4897	-1.3711
2024-05-24	18.4240	82	19.8239	20.0665	1.6424	2.4897	-1.3711
2024-05-25	18.4747	83	19.8077	19.9149	1.4402	2.4897	-1.3711
2024-05-26	17.9090	84	19.7851	19.7238	1.8148	2.4897	-1.3711
2024-05-27	17.8300	85	19.7621	19.5435	1.7135	2.4897	-1.3711
2024-05-28	17.7756	86	19.7390	19.3751	1.5995	2.4897	-1.3711
2024-05-29	17.9765	87	19.7187	19.2419	1.2654	2.4897	-1.3711
2024-05-30	18.2324	88	19.7018	19.1457	0.9134	2.4897	-1.3711
