date	tx_id	BTC	BTC, total	BTC quote	BTC $	BTC $ total	ETH	ETH, total	ETH quote	ETH $	ETH $ total	BNB	BNB, total	BNB quote	BNB $	BNB $ total	stable	stable, total	stable quote	stable $	stable $ total	UNDEAD	UNDEAD, total	UNDEAD quote	UNDEAD $	UNDEAD $ total
2025-09-03	https://snowtrace.io/tx/0x08f2a20f82bad80c3c179931d38b560d2825ddb84238e021e6604a484c1028c7	0	0.047697	$111,384.00	$0.00	$5,434.05	0.0000	1.96521	$4,381.65	$0.00	$6,662.13	0	0	$854.81	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	68,676	821,115	$0.002946	$202.32	$3,614.57
2025-09-02	https://snowtrace.io/tx/0x1c8556dd20bd96c215e68073fdbb3328a1c6d2906c6486d79399def2791d279e	0	0.047697	$109,292.00	$0.00	$5,434.05	0.0000	1.96521	$4,319.27	$0.00	$6,662.13	0	0	$845.76	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	96,250	752,439	$0.00285	$274.70	$3,412.25
2025-08-25	https://snowtrace.io/tx/0xb33bc9eb1394a8db36148ab8f81511f5657966a2f6cb12d347d6e2723511d3e7	0.0013952	0.047697	$111,395.00	$155.42	$5,434.05	0.0000	1.96521	$4,609.46	$0.00	$6,662.13	0	0	$856.24	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	0	656,189	$0.003977	$0.00	$3,137.55
2025-08-23	https://snowtrace.io/tx/0x0d848310a511a88b6f93b8ee2191f2e42edfce8af1f81ce0ee81cf40d913b34f	0.004029	0.046302	$114,701.00	$462.13	$5,278.64	0.0000	1.96521	$4,810.58	$0.00	$6,662.13	0	0	$868.29	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	0	656,189	$0.00409	$0.00	$3,137.55
2025-08-19	https://snowtrace.io/tx/0x973ed2e7dc278608549f4994cbc2afe81553f90676d5df672e2f4702f0e0b79f	0.00037	0.042273	$114,561.00	$42.39	$4,816.51	0.0000	1.96521	$4,261.27	$0.00	$6,662.13	0	0	$840.64	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	0	656,189	$0.004452	$0.00	$3,137.55
2025-08-15	https://snowtrace.io/tx/0xe14fe969a1e21a9befbb4fd5032e93f2ba57ee74a8be24a46c59fa6ab8f961a2	0	0.041903	$118,774.00	$0.00	$4,774.12	0.0000	1.96521	$4,644.40	$0.00	$6,662.13	0	0	$846.43	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	401,362	656,189	$0.004114	$1,651.20	$3,137.55
2025-08-12	https://snowtrace.io/tx/0xddcbedf281a7072ed03fb4b7b4671e4e4f2d1cff987141157cda7b0de7d8f6a8	0.000458	0.041903	$118,881.00	$54.45	$4,774.12	0.0000	1.96521	$4,344.17	$0.00	$6,662.13	0	0	$805.19	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	71,449	254,827	$0.00941	$672.26	$1,486.35
2025-08-11	https://snowtrace.io/tx/0xc07890845964647b4e53f21b6b21732eb9264c08788d2e32283a44a7d9f8e683	0	0.041445	$119,887.00	$0.00	$4,719.67	0.0000	1.96521	$4,178.51	$0.00	$6,662.13	0	0	$797.79	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	54,868	183,378	$0.008964	$491.84	$814.08
2025-08-10	https://snowtrace.io/tx/0xad2c65d8c8f230d72ff2984c00701ac90d9e6d0bf9b14bbda4c1f58c5fbcd440	0.000456	0.041445	$118,367.00	$53.98	$4,719.67	0.0000	1.96521	$3,484.99	$0.00	$6,662.13	0	0	$680.65	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	0	128510	$0.002495	$0.00	$322.25
2025-08-04	https://snowtrace.io/tx/0xc07890845964647b4e53f21b6b21732eb9264c08788d2e32283a44a7d9f8e683	0.040989	0.040989	$113,828.00	$4,665.70	$4,665.70	1.7416	1.96521	$3,484.99	$6,069.46	$6,662.13	0	0	$680.65	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	0	128510	$0.002495	$0.00	$322.25
2025-07-15	https://snowtrace.io/tx/0x835d9d12ac943781e36f3030c05f77fe7213895fe4c54d224095c34e6155e901	0	0	$0.00	$0.00	$0.00	0.0000	0.22361	$2,980.76	$0.00	$592.67	0	0	$680.65	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	8084	128510	$0.002495	$20.17	$322.25
2025-07-15	https://snowtrace.io/tx/0x032b0cd92495b07043715e04a76bf2cbc6c7b96975ed0fb342668644a258a62e	0	0	$0.00	$0.00	$0.00	0.0000	0.22361	$2,980.76	$0.00	$592.67	0	0	$680.65	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	8084	120426	$0.002495	$20.17	$302.08
2025-07-15	https://snowtrace.io/tx/0xc88e4818e86d026e1c2397ecee5018d217fc3b84ec1588abdb23b03bc67fefe1	0	0	$0.00	$0.00	$0.00	0.0000	0.22361	$2,980.76	$0.00	$592.67	0	0	$680.65	$0.00	$4.20	0	0	$1.00	$0.00	$0.00	21123	112342	$0.002495	$52.70	$281.91
