date	+BTC	+ETH	+USDC	+ADA	break	BTC	BTC quote	BTC $	BTC %	ETH	ETH quote	ETH $	ETH %	USD	USD quote	USD $	USD %	ADA	ADA quote	ADA $	ADA %	TOTAL	deposits/withdrawals	yields	yields, total	liquidations	payouts	gains	gains, total	total δ
2026-03-29	0.00000	0.00000	0.00	0.00	|	0.03609	$66,585.00	$2,402.99	17.65%	1.1007	$2,002.67	$2,204.41	16.19%	2,388.35	$1.00	$2,388.35	17.54%	27,017.27	$0.2450	$6,618.42	48.61%	$13,614.18	$0.00	$0.00	$0.00	$0.00	370.79	$90.83	$90.83	$2,741.40	-$49.74
2026-03-28	0.00000	0.00000	0.00	0.00	|	0.03609	$66,397.00	$2,396.20	17.54%	1.1007	$2,003.12	$2,204.91	16.14%	2,388.35	$1.00	$2,388.35	17.48%	27,017.27	$0.2470	$6,674.45	48.85%	$13,663.92	$0.00	$0.00	$0.00	$0.00	370.79	$91.60	$91.60	$2,650.57	-$358.07
2026-03-27	0.00000	0.00000	0.00	0.00	|	0.03609	$68,551.00	$2,473.94	17.64%	1.1007	$2,068.73	$2,277.13	16.24%	2,388.35	$1.00	$2,388.35	17.03%	27,017.27	$0.2547	$6,882.57	49.08%	$14,021.99	$0.00	$0.00	$0.00	$0.00	370.79	$94.46	$94.46	$2,558.97	-$313.61
2026-03-26	0.00000	0.00000	0.00	0.00	|	0.03609	$70,102.00	$2,529.91	17.65%	1.1007	$2,122.85	$2,336.70	16.30%	2,388.35	$1.00	$2,388.35	16.66%	27,017.27	$0.2621	$7,080.63	49.39%	$14,335.60	$0.00	$0.00	$0.00	$0.00	370.79	$97.18	$97.18	$2,464.51	-$363.39
2026-03-25	0.00000	0.00000	0.00	0.00	|	0.03609	$71,252.00	$2,571.41	17.49%	1.1007	$2,180.83	$2,400.52	16.33%	2,388.35	$1.00	$2,388.35	16.25%	27,017.27	$0.2716	$7,338.70	49.93%	$14,698.99	$0.00	$0.00	$0.00	$0.00	370.79	$100.72	$100.72	$2,367.33	$197.83
2026-03-24	0.00000	0.00000	0.00	0.00	|	0.03609	$71,190.00	$2,569.18	17.72%	1.1007	$2,160.86	$2,378.54	16.40%	2,388.35	$1.00	$2,388.35	16.47%	27,017.27	$0.2652	$7,165.09	49.41%	$14,501.16	$0.00	$0.00	$0.00	$0.00	370.79	$98.33	$98.33	$2,266.62	$672.17
2026-03-23	0.00000	0.00000	0.00	0.00	|	0.03609	$68,180.00	$2,460.55	17.79%	1.1007	$2,039.03	$2,244.44	16.23%	2,388.35	$1.00	$2,388.35	17.27%	27,017.27	$0.2493	$6,735.65	48.71%	$13,828.99	$0.00	$0.00	$0.00	$0.00	370.79	$92.44	$92.44	$2,168.28	-$257.33
2026-03-22	0.00000	0.00000	0.00	0.00	|	0.03609	$68,640.00	$2,477.15	17.59%	1.1007	$2,082.01	$2,291.75	16.27%	2,388.35	$1.00	$2,388.35	16.96%	27,017.27	$0.2565	$6,929.07	49.19%	$14,086.32	$0.00	$0.00	$0.00	$0.00	370.79	$95.10	$95.10	$2,075.84	-$382.02
2026-03-21	0.00000	0.00000	0.00	0.00	|	0.03609	$70,750.00	$2,553.30	17.65%	1.1007	$2,159.26	$2,376.78	16.43%	2,388.35	$1.00	$2,388.35	16.51%	27,017.27	$0.2646	$7,149.90	49.42%	$14,468.33	$0.00	$0.00	$0.00	$0.00	370.79	$98.13	$98.13	$1,980.74	-$58.10
2026-03-20	0.00000	0.00000	0.00	0.00	|	0.03609	$70,405.00	$2,540.85	17.49%	1.1007	$2,140.93	$2,356.60	16.22%	2,388.35	$1.00	$2,388.35	16.44%	27,017.27	$0.2680	$7,240.63	49.84%	$14,526.43	$0.00	$0.00	$0.00	$0.00	370.79	$99.37	$99.37	$1,882.62	$25.11
