2026-04-03	BTC pools				BTC+ETH						BTC+AVAX						BTC+USDC						BTC+UNDEAD					ETH+UNDEAD					AVAX+UNDEAD					UNDEAD+USDC			
	asset	addy	hash	BTC	ETH	UNDEAD	reinvest	TVL	%	BTC	AVAX	UNDEAD	reinvest	TVL	%	BTC	USDC	UNDEAD	reinvest	TVL	%	BTC	UNDEAD	reinvest	TVL	%	ETH	UNDEAD	reinvest	TVL	%	AVAX	UNDEAD	reinvest	TVL	%	UNDEAD	USDC	reinvest	TVL	%
price				$67,034.00	$2,065.43	$0.001282				$67,034.00	$8.89	$0.001282				$67,034.00	$1.00	$0.001282				$67,034.00	$0.001282				$2,065.43	$0.001282				$8.89	$0.001282				$0.001282	$1.00			
																																									
pool totals				0.37367	31.08057	500000	n/a	$89,884.16	100.00%	0.20637	1188.54459	104000	n/a	$24,533.31	100.00%	0.5203	1408.06	0	n/a	$36,288.18	100.00%	0.0549	21147353	n/a	$30,790.07	100.00%	2.2884	21918919	n/a	$32,826.67	100.00%	413.57344	21491333	n/a	$31,228.56	100.00%	23780791	0.00	n/a	$30,486.97	100.00%
investor	α	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	n/a	0.4046051913	0.3165622629	0	100%	$27,776.14	30.90%	0.2711225125	68.36980727	0	100%	$18,782.23	76.56%	0.34066	181.8640388	0	100%	$23,017.34	63.43%	0.00071462	814623	100%	$1,092.25	3.55%	0	794928	100%	$1,019.10	3.10%	1.0760	801036	100%	$1,036.49	3.32%	911301	0.00	100%	$1,168.29	3.83%
	τ	0x5F8b00A18111BAcceD63065cdce2b8DbA073B074	0.0.6557548	0	0	526000	0%	$674.33	0.75%	0	0	104000	0%	$133.33	0.54%	0.00000	0.00	0	n/a	$0.00	0.00%	0	118598	0%	$152.04	0.49%	0	118598	0%	$152.04	0.46%	0	118598	0%	$152.04	0.49%	118598	0.00	0%	$152.04	0.50%
	δ	0xC8c7AF369A85e3F4f0245435fDd7b806b92cEfCb	0.0.1496969	0	0	0	n/a	$0.00	0.00%	0	0	0	n/a	$0.00	0.00%	0.00000	0.00	0	n/a	$0.00	0.00%	0.00009127	104037	100%	$139.49	0.45%	0	100353	100%	$128.65	0.39%	0	0	n/a	$0.00	0.00%	0	0.00	n/a	$0.00	0.00%
	ι	0x60232ecb50491b10ea0edaeb66519e92d9af8628	n/a	0.50199	0.3191851085	0	100%	$34,309.65	38.17%	0	0	0	n/a	$0.00	0.00%	0.00000	0.00	0	n/a	$0.00	0.00%	0.00027331	311555	100%	$417.73	1.36%	0	300000	100%	$384.60	1.17%	0.403	300000	100%	$388.18	1.24%	0	0.00	n/a	$0.00	0.00%
	ω	0xF8eFB9Fe5786644Ee126bb841Ef434a86F368810	0.0.9425766	0.00334	0.3899659462	0	100%	$1,029.11	1.14%	0.00215	32.38342	0	100%	$431.90	1.76%	0.00284	70.69509073	0	100%	$261.11	0.72%	0.00105	36150	100%	$116.55	0.38%	0	22442	100%	$28.77	0.09%	2.3807	21570	100%	$48.82	0.16%	143101	0.00	100%	$183.46	0.60%
	φ	0x4aff0e159a30237bd8723efaab414c54e452d6ed	n/a	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00000	10000000	100%	$12,820.00	41.64%	0.00000	10000000	100%	$12,820.00	39.05%	0.00000	10000000	100%	$12,820.00	41.05%	10000000	0	100%	$12,820.00	42.05%
	ψ	0x626bc0872553994b0837e9513b0762072fb3afed	n/a	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00000	10000000	100%	$12,820.00	41.64%	0.00000	10000000	100%	$12,820.00	39.05%	0.00000	10000000	100%	$12,820.00	41.05%	10000000	0	100%	$12,820.00	42.05%
	σ	0x4EE3544464c491615D232B2D856D8171BfBd88c8	n/a	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	n/a	$0.00	0.00%	0.00000	0	n/a	$0.00	0.00%	0.00000	0	n/a	$0.00	0.00%	0.00000	0	n/a	$0.00	0.00%
	γ	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	0.19464	6.31707	0	0%	$26,094.92	29.03%	0.03868	291.66712	0	0%	$5,185.84	21.14%	0.09704	6504.867809	0	0%	$13,009.74	35.85%	0.02411	1260529	0%	$3,232.00	10.50%	1.325028974	2134754	0%	$5,473.51	16.67%	222.8921	1545640	0%	$3,963.02	12.69%	1303896	1671.59	0%	$3,343.19	10.97%
