ix,pool,open_pivots,last_pivot_on_dt,opened,ids,close_id,close_date,from,from_blockchain,amount1,virtual,quote1,val1,gain_10_percent,pivot_token,pivot_blockchain,pivot_close_price,pivot_amount,proposed_token,proposed_blockchain,proposed_close_price,proposed_amount,roi,apr
1,BTC+UNDEAD,20,2026-04-09,2026-04-03,37;38;39,15,2026-04-13,BTC,Avalanche,0,0.11943048,$67729.61,$8088.98,0.13137354,UNDEAD,Avalanche,$0.001479,6456966,BTC,Avalanche,$70672.00,0.13513927,13.15%,480.09%
2,ETH+UNDEAD,17,2026-04-01,2026-03-28,32;34;38;40,23,2026-04-13,ETH,Avalanche,0,11.823222,$2257.41,$26689.86,13.005545,UNDEAD,Avalanche,$0.001479,21140818,ETH,Avalanche,$2184.68,14.313124,21.06%,480.42%
3,AVAX+UNDEAD,12,2026-04-02,2026-02-20,32;34;42,26,2026-04-13,AVAX,Avalanche,0,186.43323,$9.40,$1752.47,205.07655,UNDEAD,Avalanche,$0.001479,1388041.9,AVAX,Avalanche,$9.02,227.6127,22.09%,155.04%
4,UNDEAD+USDC,11,2026-04-01,2026-03-21,29;31;33;35;37;39;40,17,2026-04-13,USDC,Avalanche,0,28688.19,$1.00,$28688.19,31557.01,UNDEAD,Avalanche,$0.001479,23061802,USDC,Avalanche,$1.00,34118.824,18.93%,300.41%
5,ADA+USDC,2,2026-02-20,2026-02-20,2,1,2026-04-13,ADA,Cardano,9000,0,$0.2871,$2583.90,9900,iUSD,Cardano,$1.00,2388.35,ADA,Cardano,$0.2381,10026.658,11.41%,80.07%
6,ETH+ADA,2,2026-02-20,2026-02-20,2,1,2026-04-13,ADA,Cardano,9000,0,$0.2871,$2583.90,9900,ETH,Cardano,$2184.68,1.10263,ADA,Cardano,$0.2381,10115.239,12.39%,86.98%
7,BTC+ADA,2,2026-02-20,2026-02-20,2,1,2026-04-13,ADA,Cardano,9000,0,$0.2700,$2430.00,9900,BTC,Cardano,$70672.00,0.03609,ADA,Cardano,$0.2381,10710.082,19.00%,133.37%
8,AVAX+UNDEAD,12,2026-04-02,2026-04-02,41,27,2026-04-13,UNDEAD,Avalanche,0,1012051.4,$0.001781,$1802.46,1113256.5,AVAX,Avalanche,$9.02,194.60458,UNDEAD,Avalanche,$0.001479,1186749.8,17.26%,572.78%
9,ETH+UNDEAD,17,2026-04-01,2026-04-01,37;39,24,2026-04-13,UNDEAD,Avalanche,492826,2015274.3,$0.001744,$4373.29,2758910.3,ETH,Avalanche,$2184.68,2.033876,UNDEAD,Avalanche,$0.001479,3004082,19.78%,601.50%
10,BTC+UNDEAD,20,2026-04-09,2026-03-28,32;34;40,16,2026-04-13,UNDEAD,Avalanche,833400,540280.56,$0.000843,$1158.61,1511048.6,BTC,Avalanche,$70672.00,0.03893714,UNDEAD,Avalanche,$0.001479,1860419.9,35.43%,808.32%
