date	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-07-12	4	1	https://snowtrace.io/tx/0x1bef441c29f04288b7958337e2e0070bdb49dda662a39adebe25d89a7be83f1d	AVAX	$20.63	UNDEAD	$0.002456	0.9804	$20.23	7700.0	7757	757	$1.86	10.81%	1315.68%
2025-07-13	2	2	https://snowtrace.io/tx/0x4047b8a4328cb0a93b60afa182799eb7ce3e32e4d71f4e0b77eb99548cab020b	AVAX	$21.29	UNDEAD	$0.002468	0.9669	$20.59	7700.0	8429	1,429	$3.52	20.40%	1241.13%
2025-07-14	6	3	https://snowtrace.io/tx/0x964e56b4419d0b85f5cd9b471a3967b053813940023ded301111fb11a85246da	AVAX	$21.73	UNDEAD	$0.002499	12.0617	$262.05	92400.0	112444	28,444	$31.80	16.23%	2962.17%
2025-07-15	8	4	https://snowtrace.io/tx/0x9a8681fcee53372b810e5cc871ca339ad2290ff6794a617379c39519341e6c43	AVAX	$20.96	UNDEAD	$0.002495	8.7510	$183.46	90442.0	113607	31,387	$78.29	38.16%	6964.73%
2025-07-15	10	5	https://snowtrace.io/tx/0x9873a16cbfa4e537ddfd8b1a1267d688f6d9807f96d109b040c8e2caedb06209	AVAX	$20.96	UNDEAD	$0.002495	10.9556	$229.68	110000.0	121431	21,431	$45.95	18.05%	6587.46%
2025-07-16	12	6	https://snowtrace.io/tx/0xca7653fadb737a8f7e0ca5a1491df745a2ab8ef571e6abab2b684656384cdd77	AVAX	$22.14	UNDEAD	$0.002528	12.6433	$279.90	165000.0	174848	24,848	$62.82	16.57%	6046.50%
2025-07-27	17	7	https://snowtrace.io/tx/0xe3d8bc873a754e3100655ada9fa0d6c51ca4dbb90c2b308dce898cf33105874e	AVAX	$25.32	UNDEAD	$0.002031	10.4808	$265.42	126500.0	129510	14,510	$29.47	12.62%	575.68%
2025-08-04	1,3,5,20	8	https://snowtrace.io/tx/0x358e0938686de853368b195f9b6f33eed9c66bb7557c83654134c465efdb94ad	AVAX	$0.005435	UNDEAD	$21.87	204,980	$1114.07	31.037388	43.6528	15.4370	$337.68	366.17%	5874.81%
2025-08-04	7	9	https://snowtrace.io/tx/0x0127a72df6f3a2a6e21a37367673f27720ff6233c18a10db23abcc2a258c68d3	UNDEAD	$0.005217	AVAX	$21.87	184,108	$960.49	26.400002	38.7448	14.7448	$322.54	61.44%	1019.29%
2025-08-04	9	10	https://snowtrace.io/tx/0xd465e554168c6cbb644282c62ff506f5f8f2555198edd27a547dbe2dfa7e26b9	UNDEAD	$0.005217	AVAX	$21.87	177,966	$928.45	25.300001	38.4382	15.4382	$337.71	67.12%	1166.66%
