date	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-08-25	2	1	https://snowtrace.io/tx/0x7af0e16bdbe518332f80a4ca3c8ce176ac43d2ac8198898b7eed9be98cdaf312	AVAX	$24.18	BTC	$111,395.00	44.66980555	$1,080.10	0.0094413	0.009468	0.000885	$98.59	10.31%	198.09%
2025-10-08	4,6,8,10,12,14	2	https://snowtrace.io/tx/0xbad3b9f4f65e7191fbab81684e26e313a1dfa7da8a3a70b1a5a5b5e2f41be081	AVAX	$28.17	BTC	$124,544.00	172.3670684	$4,855.99	0.037873004	0.03955	0.005121	$637.75	14.87%	95.24%
2025-10-20	11,15,17	3	https://snowtrace.io/tx/0xda8178ab387c3f306b225ee00899c609d24459170a399ffb0883143c5cd430d1	BTC	$110,660.00	AVAX	$20.32	0.04332	$4,793.79	226.46338	235.687745	29.8119	$605.77	14.48%	92.72%
2025-11-05	1,3,5,7,9,13,19	4	https://snowtrace.io/tx/0x0b942caa30810eafe4ab0ca62cc3d34c38b6194d9a44bd03a036293fa72b5edc	BTC	$102,636.00	AVAX	$16.85	0.038802	$3,982.48	216.83435	243.721003	46.5988	$785.03	23.64%	113.11%
2025-12-19	21;23;25	5	https://snowtrace.io/tx/0xbd8baf146d9e43f6a87929741d07e6e41709fae7fddf877e57ff34ba0ecdf081	BTC	$88,368.00	AVAX	$11.94	0.0818	$7,228.50	572.00415	604.093879	84.0901	$1,012.55	16.29%	156.46%
2026-01-03	28	6	https://snowtrace.io/tx/0x48f3418ed57265360ce60a13f7d85704b9d78e2b75affb5514c9bb812ce1ce51	AVAX	$13.91	BTC	$89,927.00	321.6817758	$4,474.59	0.049775	0.049594	0.004344	$425.18	10.37%	252.24%
2026-04-24	27;29	7	https://snowtrace.io/tx/0xc3e607cb11b1b8a714d0d80527162fe70c187a252e8251a0e26bdd9ff10f6955	BTC	$77,870.00	AVAX	$9.38	0.14932142	$11,627.66	1203.7186	1236.166	141.8763	$1,330.80	12.97%	124.53%
2026-06-29	26;30;31	8	https://snowtrace.io/tx/0xcab43d9330c2bb3c5a334ee663dd45b77fc0f1bc2b5c194609eaf9184d30b5d6	AVAX	$6.50	BTC	$59,926.00	1603.101563	$10,420.16	0.16588528	0.17481962	0.02401482	$1,439.11	15.92%	67.53%
2026-06-29	32	9	https://snowtrace.io/tx/0xa829c1856ce6ea90af98d06dd12108f26ab4111b89ee73c959c6b2004997fcd5	BTC	$59,926.00	AVAX	$6.50	0.058	$3,475.71	508.244	528.2478	66.2078	$430.35	14.33%	79.25%
2026-06-29	16;18;20;22;24	10	virtual_swap	AVAX	$6.50	BTC	$59,926.00	783.3109	$5,091.52	0.1443629005	0.1513	0.0069370995	$415.71	5.29%	7.85%
2026-07-12	33	11	https://snowtrace.io/tx/0x3ae3988b62124472f883bc727932444e2e841127632ea935aca26bf72aac4afb	BTC	$63,935.00	AVAX	$6.46	0.1	$6,393.50	976.0545	1003.472	116.1497	$750.33	13.09%	367.52%
