date	opened	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-08-10	n/a	1	1	https://snowtrace.io/tx/0x30c4b05199d4c56f18b87657f9d38535313de3448096f905f416d9799badad0a	ETH	$4,224	BTC	$118,299.00	0.14200	$599.85	0.0049477997	0.005067	0.000569	$67.36	12.66%	1154.87%
2025-08-12	n/a	3	2	https://snowtrace.io/tx/0xbfaa4c2e8c0ac3d39cc7260ea7054e1d50ef2e3f854374b6ef1d9b03d8e49d9e	ETH	$4,344.17	BTC	$118,881.00	0.12807	$556.36	0.0046607	0.004809	0.000572	$67.99	13.50%	985.32%
2025-08-24	n/a	5,7,9,11,13,15	3	https://snowtrace.io/tx/0x4be24d94d0350cc75069df8e6775042c0fbd1443f9d06dd0eae3386b2ddf8ee5	ETH	$4,810.58	BTC	$114,701.00	0.93557	$4,500.63	0.037605703	0.039223	0.005036	$577.60	14.73%	537.64%
2025-09-30	n/a	18	4	https://snowtrace.io/tx/0x4aeb8fe752dd52d5fb3f3a362cb735ce7c6cf6cc2fdc216f29deabe345373c70	BTC	$113,056.00	ETH	$4,162.11	0.02659	$3,005.73	0.6996	0.7295117938	0.0935	$389.21	14.70%	145.04%
2025-10-10	n/a	10,12,14,20,22,24,26	5	https://snowtrace.io/tx/0xe9b4e8efddf0aa0e4f78fe1a39f90de474fa27a913322904eace204c93f5a7a0	BTC	$112,464.00	ETH	$3,802.00	0.09770	$10,987.85	2.7490098	2.883952668	0.3847	$1,462.71	15.39%	117.05%
2025-11-22	n/a	16,34	6	https://snowscan.xyz/tx/0x205ac5f3104ceb9d89f51a0f363401eacbae6f7312c24b267660cbbc0e9758e3	BTC	$83,520.00	ETH	$2,732.01	0.03076	$2,568.82	0.92862004	0.9477738576	0.1035	$283.22	12.28%	70.02%
2026-02-02	n/a	2;4;6;8;27;29;32;36;38;40;42;44	7	https://snowtrace.io/tx/0x8fec97d8d2cdb64b3e2b6723f037f87610f456d044d178f88784b22c4c978e03	BTC	$77,795.00	ETH	$2,308.03	0.19636	$15,275.70	6.3339143	6.586666197	0.8285	$1,912.10	14.39%	41.32%
2026-02-04	n/a	61	10	https://hashscan.io/mainnet/transaction/1770247368.931730580	BTC	$72,354.30	ETH	$2,116.06	0.36275	$26,246.56	0.62567997	0.634621	0.621371	$1,314.86	109.24%	613.44%
2026-02-20	n/a	48;50	8	https://snowtrace.io/tx/0x0c47b231a418358ecc2c9f6666fd79e2262c31c014e9c632a52a4461f471c25e	BTC	$67,455.00	ETH	$1,956.62	0.11662	$7,866.93	3.9622002	4.020043298	0.418	$817.95	11.61%	47.33%
2026-02-27	n/a	31	9	https://snowtrace.io/tx/0x0448f8d3903deda0d1cdc12b5d8e1bba7bc8fb5efec472e929c2f8619d6b6be7	ETH	$1,959.41	BTC	$66,059.00	0.26430	$517.87	0.0072171	0	0.001238	$81.90	18.89%	49.26%
2026-02-28	n/a	35	11	https://snowtrace.io/tx/0xca7cc647c987ee859161f572b247c34083fd419a009428d26b558ccdd7958dc8	ETH	$1,953.96	BTC	$66,351.00	2.45013	$4,787.46	0.06938462	0	0.009258	$614.28	14.68%	765.32%
2026-03-03	n/a	57	12	https://snowtrace.io/tx/0x3bf199fbfb466c3d7e1e9f8daeaaf53ae4512592f30fad2998850d930ed877f8	BTC	$68,191.00	ETH	$1,975.29	0.02788	$1,901.29	0.93225	0.962578	0.115078	$227.31	13.58%	51.09%
2026-05-07	n/a	54;55;59;63;65	13	https://snowtrace.io/tx/0x8efc842f436d18e6e74541d389a4f1441a47225d60166a98596ed8ddddb7c797	BTC	$81,028.00	ETH	$2,332.96	0.27968183	$22,662.06	9.643803	9.755656064	0.9886	$2,306.31	11.28%	55.62%
2026-07-08	n/a	46	14	https://snowtrace.io/tx/0x570b2f59fdd18766cc0450b5b531e9f1de730f6f63688d83833f72b3074e439c	BTC	$61,870.00	ETH	$1,737.85	0.00467	$288.93	0.1648	0.16699947	0.0172	$29.89	11.48%	17.11%
2026-07-20	2026-03-12	17;19;51;53;60;64;67;68	15	https://snowtrace.io/tx/0x9a6a1dde33584eb1cb1964caaa34f713f71327badf7719d96d814c81269f8956	ETH	$1,854.38	BTC	$64,080.00	18.04132	$33,455.46	0.5106047	0.52445001	0.06026391909	$3,861.71	12.98%	36.45%
