date	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-08-03	2,13	1	https://snowtrace.io/tx/0x45525a2dffd54076c6fef0d6e3a09a116789f05c2d12c340f7072855c6a81c3f	UNDEAD	$0.002538	BTC	$113,828	483,094	$1,226.09	0.009284	0.009426	0.000986	$112.27	11.69%	355.46%
2025-08-04	4	2	https://snowtrace.io/tx/0x2083bbb4b6d9806a7794b9aec3c79e421499fe738de733f5a22069395188e8aa	UNDEAD	$0.008462	BTC	$114,529	229179	$1,939.31	0.00462	0.015258	0.011058	$1,266.48	263.29%	5652.99%
2025-08-04	6	3	https://snowtrace.io/tx/0x1784f0b4d20113a28699426dc8a9217315013ecba4e5cb808ac2c1e06f048013	UNDEAD	$0.008462	BTC	$114,529	216,623	$1,833.06	0.0046750004	0.015359	0.011109	$1,272.27	261.38%	5962.79%
2025-08-04	9	4	https://snowtrace.io/tx/0x333f85d963c723fa5168efd7e5c82e4904ae0ee8d4561fd92d0328928f196359	UNDEAD	$0.008462	BTC	$114,529	222,801	$1,885.34	0.00473	0.015194	0.010894	$1,247.65	253.34%	9247.01%
2025-08-04	7	5	https://snowtrace.io/tx/0x68d726b4059d58e708ab53807e4116b79785b0c760fe6680dae562dc8fd8d693	UNDEAD	$0.008462	BTC	$114,529	133,524	$1,129.88	0.002882	0.008690	0.006070	$695.17	231.67%	5637.35%
2025-08-04	11	6	https://snowtrace.io/tx/0x8de45394ced8af3cf13ba42fa92dde1d9aee558850c828cf4f36bde340ac18b9	UNDEAD	$0.008462	BTC	$114,529	230,504	$1,950.52	0.004662	0.014373	0.010133	$1,160.53	238.99%	9692.25%
2025-08-11	14	7	https://snowtrace.io/tx/0x0286d3c7cd9c5e2656df639d747d746496f3d4c7d455cbaeced55b48c95f1739	BTC	$119,887.00	UNDEAD	$0.008135	0.008595	$1,030.43	63250	126078	68578	$557.94	119.27%	7255.71%
2025-08-15	16	8	https://snowtrace.io/tx/0x34fef158a62869d972038384f6fc42f77688f667807e1febec37fb75cd037c9e	BTC	$118,774.00	UNDEAD	$0.004145	0.008329	$989.27	124300	243746	130746	$541.99	115.71%	14077.89%
2025-08-19	19	9	https://snowtrace.io/tx/0x37a1469fb7b84a6beef62d9d8196c1f104e2e42dc3de06e5214cd5a959dc32ff	UNDEAD	$0.004452	BTC	$114,561.00	125,956	$560.76	0.0046871	0.004724	0.000463	$53.03	10.86%	991.23%
2025-09-02	18;20;22	10	https://snowtrace.io/tx/0x352045fffc4054938633f6c188f973b4082931493ad2e67e9c5af3d2d4ef1b2c	BTC	$109,292.00	UNDEAD	$0.00285	0.013245	$1,447.57	420200	502,295	120295	$343.37	31.49%	884.26%
2025-10-07	24;26	11	https://snowtrace.io/tx/0x1ee1b8d706fd8a7be9b803654f650361e04b59fbd00b38b8643c3012fea1a3f5	BTC	$124,544.00	UNDEAD	$0.002766	0.009069	$1,129.49	393800	397,783	39783	$110.04	11.11%	117.57%
2025-12-25	30	12	https://snowtrace.io/tx/0x6043087f9fb0c9be3ddde1e40f36e69114c9e686b024f89859acb7dd294dc2cc	BTC	$87,100.00	UNDEAD	$0.001619	0.005560	$484.28	284900	278251	19251	$31.16	7.43%	84.77%
2026-01-22	29	13	https://snowtrace.io/tx/0x9bf3e4a4b7aba25ddb9223d6372779193e32217f34bb44a8a08591617e421ce3	UNDEAD	$0.002042	BTC	$89,405.00	217,404	$443.94	0.004884	0.004916	0.000476	$42.59	10.73%	42.11%
2026-03-17	25;27;31	14	https://snowtrace.io/tx/0xe4e7793aa262a37530591e7a77deefc0a8eb3c92e7729229d8c321ba341c1b74	UNDEAD	$0.002485	BTC	$73,860.00	910,962	$2,263.74	0.026125	0.028987	0.005237	$386.79	22.05%	47.81%
2026-06-11	1;3;5;8;10;12;28;32;34;36;40;41	15	https://snowtrace.io/tx/0xe18eb0073b5a35735aad193448b80d312ee1706131e608afaa148df84ce3267d	BTC	$62,607.00	UNDEAD	$0.000831	0.08597	$5,382.32	4386449	5324429	872390	$724.96	27.70%	78.28%
