date	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-08-25	3	1	https://snowtrace.io/tx/0x8066967b10f9f3c6acc855828bec037d8d7ab5f1317f71cc9a28e2420770d22c	USDC	$1.00	BTC	$111395.00	996.129438	$996.13	0.0090409005	0.009078	0.000859	$95.69	10.45%	254.32%
2025-10-07	14	2	https://snowtrace.io/tx/0xdc27137c2a3534cbf472ea43a0d742ac974c3805890ae65005e55d3450f33aec	BTC	$124544.00	USDC	$1.00	0.027307	$3400.92	3300.0	3353.030619	353.0306	$353.05	11.77%	99.89%
2025-11-05	1,5,7,9	3	https://snowtrace.io/tx/0x696286aaebb1e98c485f58db0770cf9822d2ce7fe2ce5fdca23fb0f5577b66c6	USDC	$1.00	BTC	$102636.00	2,996.22	$2996.22	0.027709	0.028962	0.003772	$387.17	14.98%	63.56%
2025-11-20	11,13,15,17	4	https://snowtrace.io/tx/0x9243c9e0abc9aa1ac578920667b178fb9a40a2cc66d97842c44018b61bd5fe3c	USDC	$1.00	BTC	$91500.00	3,824.29	$3824.29	0.037727688	0.04128	0.006982	$635.52	20.27%	102.05%
2025-11-20	19	5	https://snowtrace.io/tx/0x0849e46fd4fc9ba3c0d5ea7ad9741a2a89307fa5e3d17fcd14477fa0ea99f495	USDC	$1.00	BTC	$91500.00	2,494.83	$2494.83	0.02706	0.02707562	0.00248	$226.52	10.06%	262.37%
2026-02-02	21;23;25	6	https://snowtrace.io/tx/0xfc6b54febb8e27ecfbd3f40089549b9d9384dfdb6b1b3d50ba88ef43ee9118f7	USDC	$1.00	BTC	$77795.00	9,996.44	$9996.44	0.118844	0.12784049	0.01980	$1540.38	18.33%	123.12%
2026-04-16	12;20;22;24;26;28	7	https://snowtrace.io/tx/0xe6b289f8782ed2666c1f3e53da56b4f6d8a0cd24d1690aa81c38f876ac6da36a	BTC	$74702.00	USDC	$1.00	0.46479	$34720.74	33950.156	34,701.37	3,837.59	$3838.07	12.43%	57.96%

2026-06-17	27;29	8	asdf	USDC	$1.00	BTC	$65489.00	37005.758	$37005.76	0.4974	8008	8007.5479	$524406304.00	1770774.38%	10259248.00%
2026-06-20	27;29	8	asdf	USDC	$1.00	BTC	$63676.00	37005.758	$37005.76	0.4974	8008	8007.5479	$509888608.00	1770774.38%	9792919.00%
2026-06-20	27;29	8	asdf	USDC	$1.00	BTC	$63676.00	37005.758	$37005.76	0.4974	8008	8007.5479	$509888608.00	1770774.38%	9792919.00%
