date	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-07-14	1	1	https://snowscan.xyz/tx/0x8590981b1b657c479a1149546628e9839c9d64d4ce72829864440f29dcb43fa8	ETH	$2,978.81	UNDEAD	$0.002468	0.06755	$201.22	82500	87706	12706	$31.36	15.25%	2782.99%
2025-07-15	5	2	https://snowtrace.io/tx/0x6048f2e119e6aa9a10f997d0a823a5929520fb2647a5a34453fa1defe7d04157	ETH	$2,980.76	UNDEAD	$0.002495	0.06712	$200.07	110000	113291	13291	$33.16	9.82%	3584.46%
2025-07-15	3	3	https://snowtrace.io/tx/0xb0466f78e4eebfabd296ede25949a4c3cdd968482c4780f340d94bc84a69c10a	ETH	$2,980.76	UNDEAD	$0.002495	0.07456	$222.25	110000	110648	10648	$26.57	9.59%	1749.55%
2025-07-16	7	4	https://snowtrace.io/tx/0x45c4bc043cf062b90d74ae01c23133993ad7a324edacee486ce1ed6e8759f656	ETH	$3,176.85	UNDEAD	$0.002528	0.08705	$276.54	148500	181002	46002	$116.29	32.97%	12034.06%
2025-07-19	10	5	https://snowtrace.io/tx/0xbaeec10b106537681c4770a8c3a222e86912763470ef49f540211e92f1ed5aa0	UNDEAD	$0.002173	ETH	$3,547.56	295,335	$641.76	0.165	0.1675	0.0175	$62.12	11.67%	1420.26%
2025-08-04	2	6	https://snowtrace.io/tx/0x936883a6206e4cb2e84a7324a221edf5d56d421d4d0af52e0f79b4b080d9db9e	UNDEAD	$0.007194	ETH	$3,484.99	154,328	$1,110.24	0.165	0.3091	0.1591	$554.55	106.08%	1683.51%
2025-08-04	4	7	https://snowtrace.io/tx/0x0ce69ea12c53b23936ac33cabb3a55dfc1643900736a025800d0b99d95fc9bc7	UNDEAD	$0.007194	ETH	$3,484.99	166,339	$1,196.64	0.165	0.3049	0.1549	$539.94	103.29%	1713.64%
2025-08-04	6	8	https://snowtrace.io/tx/0x7f4fd637547066f7ef830f1807169b734f3a211586afa444fac2f0ef9058ae72	UNDEAD	$0.007194	ETH	$3,484.99	200,412	$1,441.76	0.1815	0.3584	0.1934	$674.03	117.22%	2037.36%
2025-08-04	8	9	https://snowtrace.io/tx/0xd416a0ffcb259851726a32c0541dbbce240750058440abc5cf5a64a4a6f53310	UNDEAD	$0.007194	ETH	$3,484.99	235,291	$1,692.68	0.1815	0.3884	0.2234	$778.38	135.36%	2470.41%
2025-08-04	12	10	https://snowtrace.io/tx/0x9ba5333f5278db4071430dce7aa419ccd8f3875ff4aed1ac2aaeb6a97d95cc69	UNDEAD	$0.007194	ETH	$3,484.99	230,764	$1,660.12	0.154	0.3508	0.2108	$734.63	150.57%	3232.85%
2025-08-04	14	11	https://snowtrace.io/tx/0xf4d9cf2fecf36391727e46dca6be90af26b1235d943a2e4d85302fe4c0058396	UNDEAD	$0.007194	ETH	$3,484.99	229,187	$1,648.77	0.154	0.3447	0.2047	$713.24	146.19%	3334.89%
2025-08-04	16	12	https://snowtrace.io/tx/0x0f9a6ac0a493c27d6825b322805768c0b61d27d3cd8fceb2ca354e4526ab6ca2	UNDEAD	$0.007194	ETH	$3,484.99	226,316	$1,628.12	0.1474	0.3264	0.1924	$670.46	143.57%	3493.56%
2025-08-04	18	13	https://snowtrace.io/tx/0x9a2d301fa7abeb5228595c0dffde9f4f460480b883c1c0071c7de42bf964b13e	UNDEAD	$0.007194	ETH	$3,484.99	210,801	$1,516.50	0.1452	0.3068	0.1748	$609.34	132.46%	3453.41%
2025-08-04	20	14	https://snowtrace.io/tx/0x5eb6a8f22b56b79d51699ce652de3846982d6ff31b8ee3a422a99f39ac1a6849	UNDEAD	$0.007194	ETH	$3,484.99	135,985	$978.28	0.0871	0.2029	0.1237	$431.16	156.21%	4385.89%
2025-08-04	22	15	https://snowtrace.io/tx/0xa6c2f71c6950da9fe178bd9dc1ba97c1eaedb8d2a88228584eab6c9cdfd82a3b	UNDEAD	$0.007194	ETH	$3,484.99	224,080	$1,612.03	0.1518	0.3076	0.1696	$591.06	122.90%	4485.86%
2025-08-04	24	16	https://snowtrace.io/tx/0xb8dee1c14b98ee907bec64f584e58b8cbcd55a3c2ab72d1a69dcec2f71dde334	UNDEAD	$0.007194	ETH	$3,484.99	229,720	$1,652.61	0.1474	0.3103	0.1763	$614.30	131.55%	5334.89%
2025-08-04	26	17	https://snowtrace.io/tx/0x1d68e16075457d4b94fc9aedbf0e72bc40e0330d8cb5548c124ef55769beec20	UNDEAD	$0.007194	ETH	$3,484.99	245,495	$1,766.09	0.1430	0.3240	0.1940	$675.94	149.20%	6807.19%
2025-08-12	27	18	https://snowtrace.io/tx/0xace8e78527cc0cc8442e1562bef11080c9732e24b66a30cae357243710f869f3	ETH	$4,344.17	UNDEAD	$0.009075	0.28551	$1,240.30	57750	141811	89311	$810.49	170.12%	6899.16%
2025-08-15	29	19	https://snowtrace.io/tx/0x4a5fb2bc3df38ede75fbe4f7fcd90df4a089ff0689e594062f35c01f2e2d7d1a	ETH	$4,644.40	UNDEAD	$0.004135	0.21834	$1,014.06	118250	240290	132790	$549.09	123.53%	15029.08%
2025-09-03	31,33	20	https://snowtrace.io/tx/0xcd4cd524ba31404edb817230d4500edc45d3d4992cedee67191461b9a4a9b0db	ETH	$4,381.65	UNDEAD	$0.002946	0.2282	$999.89	277200	337,832.52	85,833	$252.86	34.06%	753.54%
2025-10-21	35	21	https://snowtrace.io/tx/0x906edf3dfe86e977a8dd451dcc5de8c1a487eb69bcf9943b5c3cfe193d2b569a	ETH	$3,889.37	UNDEAD	$0.002589	0.11692	$454.75	192500	201013	26013	$67.35	14.86%	113.02%
2026-02-02	36	22	https://snowtrace.io/tx/0xa6d92a2f6c212216e2bd374d6adf5ff975c01dd6fcea7457617c24f70f1a9a11	UNDEAD	$0.002030	ETH	$2,308.03	320,835	$651.30	0.2530	0.2691	0.0391	$90.23	17.00%	40.81%
2026-04-28	37;39	23	https://snowtrace.io/tx/0x61e4b3bc500fe07ab740cc450698ccfe23472304528d062f88576bf326180efa	ETH	$2,273.54	UNDEAD	$0.001451	0.80294997	$1,825.54	1100000	1157555	157555	$228.55	15.76%	212.99%
