date	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	total
2025-07-12	AVAX+UNDEAD	UNDEAD	$0.002456	605.5860	$1.49	0.0000	$0.00	605.5860	$1.49	$1.49
2025-07-13	AVAX+UNDEAD	UNDEAD	$0.002468	1142.4550	$2.82	0.0000	$0.00	1142.4550	$2.82	$4.31
2025-07-14	AVAX+UNDEAD	UNDEAD	$0.002499	9506.5061	$23.76	0.0000	$0.00	9506.5061	$23.76	$28.06
2025-07-15	AVAX+UNDEAD	UNDEAD	$0.002495	40534.7828	$101.13	0.0000	$0.00	40534.7828	$101.13	$129.20
2025-07-16	AVAX+UNDEAD	UNDEAD	$0.002528	19878.7621	$50.25	0.0000	$0.00	19878.7621	$50.25	$179.45
2025-07-27	AVAX+UNDEAD	UNDEAD	$0.002031	11608.1687	$23.58	0.0000	$0.00	11608.1687	$23.58	$203.03
2025-08-04	AVAX+UNDEAD	sAVAX	$26.60	143.0094	$3,804.05	17.8762	$475.51	160.8856	$4,279.56	$4,482.58
2025-08-12	AVAX+UNDEAD	UNDEAD	$0.009371	51730	$484.76	6466	$60.60	58196.0508	$545.36	$5,027.94
2025-08-15	AVAX+UNDEAD	UNDEAD	$0.004143	102801	$425.90	12850	$53.24	115650.9734	$479.14	$5,507.08
2025-09-04	AVAX+UNDEAD	UNDEAD	$0.002908	88780	$258.17	11097	$32.27	99877.0052	$290.44	$5,797.52
2025-10-08	AVAX+UNDEAD	UNDEAD	$0.002766	12970	$35.88	1621	$4.48	14591.3481	$40.36	$5,837.88
2026-01-15	AVAX+UNDEAD	sAVAX	$17.90	7.6449	$136.84	0.9556	$17.11	8.6005	$153.95	$5,991.83
