date	pool	token	quote	amount	amount $	paydown	paydown $	sum	BTC $	ETH $	asUSD	total
2025-08-10	BTC+ETH	BTC	$118,299.00	0.0005	$53.89	0.000000	$0.00	0.0005	$53.89	$0.00	$53.89	$53.89
2025-08-12	BTC+ETH	BTC	$118,881.00	0.0005	$54.39	0.000057	$6.80	0.0005	$115.08	$0.00	$61.19	$115.08
2025-08-24	BTC+ETH	BTC	$114,701.00	0.0040	$462.08	0.000000	$0.00	0.0040	$577.16	$0.00	$462.08	$577.16
2025-09-30	BTC+ETH	ETH	$4,162.11	0.0748	$311.37	0.009351	$38.92	0.0842	$577.16	$350.29	$350.29	$927.45
2025-10-10	BTC+ETH	ETH	$3,802.00	0.3078	$1,170.17	0.038472	$146.27	0.3462	$577.16	$1,666.72	$1,316.44	$2,243.88
2025-11-22	BTC+ETH	ETH	$2,732.01	0.0829	$226.57	0.010367	$28.32	0.0933	$577.16	$1,921.62	$254.89	$2,498.78
2026-02-02	BTC+ETH	ETH	$2,308.03	0.6628	$1,529.68	0.082846	$191.21	0.7456	$577.16	$3,642.51	$1,720.89	$4,219.67
2026-02-04	BTC+ETH	ETH	$2,116.06	0.4971	$1,051.89	0.062137	$131.49	0.5592	$577.16	$4,825.88	$1,183.37	$5,403.04
2026-02-20	BTC+ETH	ETH	$1,956.62	0.3344	$654.36	0.041804	$81.80	0.3762	$577.16	$5,562.04	$736.16	$6,139.20
2026-02-27	BTC+ETH	BTC	$66,059.00	0.0010	$65.52	0.000124	$8.18	0.0011	$650.87	$5,562.04	$73.70	$6,212.90
2026-02-28	BTC+ETH	BTC	$66,351.00	0.0074	$491.43	0.000926	$61.43	0.0083	$1,203.72	$5,562.04	$552.86	$6,765.76
2026-03-03	BTC+ETH	ETH	$1,975.29	0.0921	$181.85	0.011508	$22.73	0.1036	$1,203.72	$5,766.62	$204.58	$6,970.34
2026-05-07	BTC+ETH	ETH	$2,332.96	0.7909	$1,845.05	0.098858	$230.63	0.8897	$1,203.72	$7,842.30	$2,075.68	$9,046.02
2026-07-08	BTC+ETH	ETH	$1,737.85	0.0138	$23.91	0.001720	$2.99	0.0155	$1,203.72	$7,869.20	$26.90	$9,072.92
2026-07-20	BTC+ETH	BTC	$64,080.00	0.0482	$3,089.37	0.006026	$386.17	0.0542	$4,679.26	$7,869.20	$3,475.54	$12,548.47
