date	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	BTC $	UNDEAD $	total
2025-08-03	BTC+UNDEAD	BTC	$113,828.00	0.000789	$89.82	0.000099	$11.23	0.0009	$101.05	$89.82	$0.00	$101.05
2025-08-04	BTC+UNDEAD	BTC	$114,529.00	0.039411	$4,513.68	0.004926	$564.21	0.0443	$5,077.89	$4,603.50	$0.00	$5,178.94
2025-08-11	BTC+UNDEAD	UNDEAD	$0.008135	54863	$446.31	6858	$55.79	61720.6102	$502.10	$5,049.81	$0.00	$5,681.04
2025-08-15	BTC+UNDEAD	UNDEAD	$0.004145	104596	$433.55	13075	$54.19	117670.9656	$487.75	$5,483.36	$0.00	$6,168.78
2025-08-19	BTC+UNDEAD	BTC	$114,561.00	0.000370	$42.42	0.000046	$5.30	0.0004	$47.73	$5,525.79	$0.00	$6,216.51
2025-09-02	BTC+UNDEAD	UNDEAD	$0.00285	96236	$274.66	12030	$34.33	108265.6380	$308.99	$5,800.44	$0.00	$6,525.50
2025-10-07	BTC+UNDEAD	UNDEAD	$0.002766	31827	$88.03	3978	$11.00	35804.9470	$99.04	$5,800.44	$88.04	$6,624.54
2025-12-25	BTC+UNDEAD	UNDEAD	$0.001619	15401	$24.93	1925	$3.12	17325.7160	$28.05	$5,800.44	$112.97	$6,652.59
2026-01-22	BTC+UNDEAD	BTC	$89,405.00	0.000381	$34.07	0.000048	$4.26	0.0004	$38.33	$5,834.51	$112.97	$6,690.92
2026-03-17	BTC+UNDEAD	BTC	$73,860.00	0.004189	$309.43	0.000524	$38.68	0.004713	$348.11	$6,143.94	$112.97	$7,039.02
2026-06-11	BTC+UNDEAD	UNDEAD	$0.000831	697912	$579.96	87239	$72.50	785151	$652.46	$6,143.94	$692.94	$7,691.48
2026-07-20	BTC+UNDEAD	UNDEAD	$0.000836	142347	$118.98	17793	$14.87	160140	$133.86	$6,143.94	$811.92	$7,825.34
2026-07-21	BTC+UNDEAD	BTC	$65,542.00	0.001187	$77.77	0.000148	$9.72	0.001335	$87.49	$6,221.71	$811.92	$7,912.83
