date	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	ETH total	UNDEAD total	total
2025-07-14	ETH+UNDEAD	UNDEAD	$0.00	9061.0651	$22.36	0.0000	$0.00	9061.0651	$22.36	$0.00	$22.36	$22.36
2025-07-15	ETH+UNDEAD	UNDEAD	$0.002495	16168	$40.34	0	$0.00	16168.4190	$40.34	$0.00	$62.70	$62.70
2025-07-16	ETH+UNDEAD	UNDEAD	$0.002528	35834	$90.59	0	$0.00	35834.1116	$90.59	$0.00	$153.29	$153.29
2025-07-19	ETH+UNDEAD	ETH	$3,547.56	0.0140	$49.69	0	$0.00	0.0140	$49.69	$49.69	$153.29	$202.99
2025-08-04	ETH+UNDEAD	ETH	$3,484.99	1.7416	$6,069.63	0.21771	$758.70	1.9594	$6,828.33	$6,878.03	$153.29	$7,031.32
2025-08-12	ETH+UNDEAD	UNDEAD	$0.009075	71449	$648.40	8931	$81.05	80380.5157	$729.45	$6,878.03	$882.74	$7,760.77
2025-08-15	ETH+UNDEAD	UNDEAD	$0.004135	106234	$439.28	13279	$54.91	119513.6220	$494.19	$6,878.03	$1,376.93	$8,254.96
2025-09-03	ETH+UNDEAD	UNDEAD	$0.002946	68676	$202.32	8584	$25.29	77260.4366	$227.61	$6,878.03	$1,604.54	$8,482.57
2025-10-21	ETH+UNDEAD	UNDEAD	$0.002589	20808	$53.87	2601	$6.73	23409.5414	$60.61	$6,878.03	$1,665.15	$8,543.18
2026-02-02	ETH+UNDEAD	ETH	$2,308.03	0.0313	$72.18	0.00391	$9.02	0.0352	$81.20	$6,959.23	$1,665.15	$8,624.38
2026-04-28	ETH+UNDEAD	UNDEAD	$0.001451	126043.677	$182.84	15755.45962	$22.85	141799.1366	$205.69	$6,959.23	$1,870.84	$8,830.07
