opened	open	close	tx_id	from	amount1	virtual	10% gain	quote1	val1	to	quote2	amount computed	amount2	commission	gas token	gas	gas quote	gas $	net	val2	diff	δ
2025-08-06	1	1	https://snowtrace.io/tx/0x60a2129cf19213def46b4355739cf69e998ed6245fe0ade6563e83c1ba2d83c8	BTC	0.004498	0	0.004948	$113,883.00	$512.30	ETH	$3,588.72	0.14275	0.14203		AVAX	0.0052267	$22.24	$0.12	0.14203	$509.69	-$2.61	-1.197
2025-08-06	2	0	https://snowtrace.io/tx/0x313f4401a09510491ab2af63903428e5928260ee7490147f717600a3f5d82dc9	ETH	0.2678	0	0.2946	$3,588.72	$961.08	BTC	$113,883.00	0.008439	0.008825		AVAX	0.0057248	$22.24	$0.13	0.008825	$1,005.04	$43.96	-1.197
2025-08-07	3	2	https://snowtrace.io/tx/0xcc3eae059b0872bdda9bb3646d3d19c711cabdc00a8849cd2afd6b43a3c0fe03	BTC	0.004237	0	0.004661	$116,384.00	$493.13	ETH	$3,836.05	0.12855	0.12807		AVAX	0.0026516	$22.66	$0.06	0.12807	$491.28	-$1.85	-2.345
2025-08-07	4	0	https://snowtrace.io/tx/0x91450697e53257d32c3fc900323cfb9aa054cdabb4534b70f83a2ed301f56b12	ETH	0.2546	0	0.2800	$3,836.05	$976.58	BTC	$116,384.00	0.008391	0.008451		AVAX	0.0138748	$22.66	$0.31	0.008451	$983.56	$6.98	-2.345
2025-08-10	5	3	https://snowtrace.io/tx/0xced0f9a08c8ea12a1754b7348ef2aa6ac8f40358b51c013a892ff1405b326b24	BTC	0.004197	0	0.004617	$118,367.00	$496.80	ETH	$4,189.81	0.11857	0.11918		AVAX	0.0021520	$23.92	$0.05	0.11918	$499.33	$2.53	-3.365
2025-08-10	6	0	https://snowtrace.io/tx/0x18482580ce2ace2bd33e5d47e59c3cdccc3466f58d7230d7f2eca2211f843bc8	ETH	0.2359	0	0.2595	$4,189.81	$988.57	BTC	$118,367.00	0.008352	0.008431		AVAX	0.0029057	$23.92	$0.07	0.008431	$997.94	$9.37	-3.365
2025-08-11	7	3	https://snowtrace.io/tx/0xa46ad4cf1e41d6911daae2e63bcbfde082daec2968638367d62bd8cc4d4bbbe4	BTC	0.004197	0	0.004617	$119,887.00	$503.18	ETH	$4,178.51	0.12042	0.11911		AVAX	0.0034496	$23.22	$0.08	0.11911	$497.69	-$5.49	-2.647
2025-08-11	8	0	https://snowtrace.io/tx/0x47067d1d5d6798a9ee883d103b7b30cd0be5962bf41b9001fa4ae02b92ef32da	ETH	0.2373	0	0.2610	$4,178.51	$991.63	BTC	$119,887.00	0.008271	0.008355		AVAX	0.0026658	$23.22	$0.06	0.008355	$1,001.63	$10.00	-2.647
2025-08-12	9	3	https://snowtrace.io/tx/0xd4c180b708b99d11665951837d774b977886b75d204b3224f4d14ab262be90bf	BTC	0.004150	0	0.004565	$118,881.00	$493.36	ETH	$4,344.17	0.11357	0.11001		AVAX	0.0027585	$23.55	$0.06	0.11001	$477.89	-$15.47	-3.594
2025-08-12	10	5	https://snowtrace.io/tx/0xebdd2005f76f9da6486f1b2d883e3d9050b8514d14283a80e7f0f3667fab55ec	ETH	0.2226	0	0.2449	$4,344.17	$967.13	BTC	$118,881.00	0.008135	0.008367		AVAX	0.0023417	$23.55	$0.06	0.008367	$994.67	$27.55	-3.594
