opened	pivot	close	tx_id	from	amount1	virtual	10% gain	quote1	val1	to	quote2	amount computed	amount2	commission	gas token	gas	gas quote	gas $	net	val2	diff	δ	δBTC	δUNDEAD	closed
2025-07-17	1	0	https://snowtrace.io/tx/0x866b1bf157402edf970392f859dd34ade0da87c54d7ca7fecbebc1f2758965d7	UNDEAD	134000	0	147400	$0.002294	$307.40	BTC	$117,882.00	0.00261	0.00214		AVAX	0.0051523	$22.67	$0.12	0.00214	$252.85	-$54.55	4699528			*hedge
2025-07-17	2	1	virtual swap	BTC	0	0.0042	0.00462	$117,882.00	$495.10	UNDEAD	$0.002294	215826	249142		AVAX	0	$22.67	$0.00	249142	$571.53	$76.43	4699528			✅
2025-07-18	3	0	https://snowtrace.io/tx/0x83c5ba43e213f54ec8e2b7a34b679714043c2b6a766601a9a138fc38a6ed0e6c	UNDEAD	122000	0	134200	$0.002317	$282.67	BTC	$117,935.00	0.00240	0.00212		AVAX	0.0281338	$24.39	$0.69	0.00212	$249.67	-$33.00	3800157			*hedge
2025-07-18	4	2	virtual swap	BTC	0	0.0042	0.00462	$117,935.00	$495.33	UNDEAD	$0.002317	213779	229179		AVAX	0	$24.39	$0.00	229179	$531.01	$35.68	3800157			✅
2025-07-19	5	0	https://snowtrace.io/tx/0x6c3b996d37e3fc029ddb59785cc86e209dd577f407f1cf09b01593146412b677	UNDEAD	115000	0	126500	$0.002173	$249.90	BTC	$118,265.00	0.00211	0.00214		AVAX	0.0028346	$23.56	$0.07	0.00214	$253.23	$3.33	6641604			*hedge
2025-07-19	6	3	virtual swap	BTC	0	0.00425	0.004675	$118,265.00	$502.63	UNDEAD	$0.002173	231305	216623		AVAX	0	$23.56	$0.00	216623	$470.72	-$31.90	6641604			✅
2025-07-20	7	5	virtual swap	BTC	0	0.00262	0.002882	$117,982.00	$309.11	UNDEAD	$0.002226	138865	133524		AVAX	0	$24.98	$0.00	133524	$297.22	-$11.89	4714251			✅
2025-07-25	8	0	https://snowtrace.io/tx/0x9d188359b89471646ab23234d1c88fb81d1345d16e3fffaf8ce313dd62eefa0d	UNDEAD	120000	0	132000	$0.002183	$261.96	BTC	$116,127.00	0.00226	0.00218		AVAX	0.0046368	$23.84	$0.11	0.00218	$253.60	-$8.36	2439532			*hedge
2025-07-25	9	4	virtual swap	BTC	0	0.0043	0.00473	$116,127.00	$499.35	UNDEAD	$0.002183	228743	222801		AVAX	0	$23.84	$0.00	222801	$486.38	-$12.97	2439532			✅
2025-07-26	10	0	https://snowtrace.io/tx/0x255b533c6a213f7ded67cf99464986996b619cb710370537b957f9b6f8af98d7	UNDEAD	122000	0	134200	$0.002161	$263.64	BTC	$117,964.00	0.00223	0.00212		AVAX	0.0024739	$24.35	$0.06	0.00212	$249.68	-$13.96	3456637			*hedge
2025-07-26	11	6	virtual swap	BTC	0	0.00424	0.004664	$117,964.00	$500.17	UNDEAD	$0.002161	231452	230504		AVAX	0	$24.35	$0.00	230504	$498.12	-$2.05	3456637			✅
2025-07-27	12	0	https://snowtrace.io/tx/0xd0ee85ea7d1215bee5827591972e6a654adbfa3f7eb71a90ed3f14dd3793f582	UNDEAD	124000	0	136400	$0.002031	$251.84	BTC	$118,085.00	0.00213	0.00212		AVAX	0.0021460	$25.11	$0.05	0.00212	$249.76	-$2.09	6351995			*hedge
2025-07-27	13	1	virtual swap	BTC	0	0.00424	0.004664	$118,085.00	$500.68	UNDEAD	$0.002031	246519	233952		AVAX	0	$25.11	$0.00	233952	$475.16	-$25.52	6351995			✅
2025-08-05	14	7	https://snowtrace.io/tx/0x601281764f020e22721fecd9b60b3d31916fe1e13dca7d0ce74524667645c9b1	UNDEAD	57500	0	63250	$0.017830	$1,025.23	BTC	$113,828.00	0.009007	0.008595		AVAX	0.0066450	$22.12	$0.15	0.008595	$978.40	-$46.82	-21613118			✅
2025-08-05	15	0	https://snowtrace.io/tx/0x8c314ed5dc065c907ccfc5fa37b54fb902e32fc2f120621dabf7505ce86760b1	BTC	0.0044	0	0.00484	$113,828.00	$500.84	UNDEAD	$0.017830	28090	28958		AVAX	0.0036177	$22.12	$0.08	28958	$516.31	$15.47	-21613118			*hedge
2025-08-12	16	8	https://snowtrace.io/tx/0xaeb804947ad382ffb45fb3531aa6d6e3cf4f71de4ae37b382fd47b20b4e3cc24	UNDEAD	113000	0	124300	$0.009099	$1,028.19	BTC	$118,881.00	0.008649	0.008329		AVAX	0.0037031	$23.55	$0.09	0.008329	$990.21	-$37.98	-15691762			✅
