opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-08-06	1	3	https://snowtrace.io/tx/0x88b9f33b8f96c8b7d65295c361f39c980abf35501b2851d36f6b8df91aa41daa	n/a	BTC	Avalanche	0.004172	0	$113883.00	$475.12	0.0045892	USDC	Avalanche	488.21823	0	$1.00	$488.22
2025-08-06	2	0	https://snowtrace.io/tx/0xc82aa82f0782ee2b3f7b669e67889f9c93a5d5db18148740b5b83931c7eaf2b6	n/a	USDC	Avalanche	990.8726	0	$1.00	$990.87	1089.96	BTC	Avalanche	0.008792	0	$113883.00	$1001.26
2025-08-10	3	1	https://snowtrace.io/tx/0xf2a625f0098e187fd4043595c3d918e98843ac02542744f9c23357a8a209b8c1	n/a	BTC	Avalanche	0.008219	0	$118367.00	$972.86	0.0090409005	USDC	Avalanche	996.12946	0	$1.00	$996.13
2025-08-10	4	0	https://snowtrace.io/tx/0xb7c0a95a39e9b4dd575b3861013fd4db4b6fd5c3b25917a3f64d10767a68ca0f	n/a	USDC	Avalanche	496.1176	0	$1.00	$496.12	545.7294	BTC	Avalanche	0.004174	0	$118367.00	$494.06
2025-08-11	5	3	https://snowtrace.io/tx/0xb617d6dc5c94439693ddd8b358712a5364f8af60424685f5d6ea052b6b2d9a1e	n/a	BTC	Avalanche	0.008423	0	$119887.00	$1009.81	0.0092653	USDC	Avalanche	1000.98157	0	$1.00	$1000.98
2025-08-11	6	0	https://snowtrace.io/tx/0xfa1a40d55e6e5419403a3944027683c7e5de240bf1f373e3c83898a4badb028c	n/a	USDC	Avalanche	498.8871	0	$1.00	$498.89	548.7758	BTC	Avalanche	0.004232	0	$119887.00	$507.36
2025-08-12	7	3	https://snowtrace.io/tx/0xe317df4306922ddc3140f4e1106e602306a76f830196c915c2df082bde9d00bf	n/a	BTC	Avalanche	0.008383	0	$118881.00	$996.58	0.0092213005	USDC	Avalanche	1006.76447	0	$1.00	$1006.76
2025-08-12	8	0	https://snowtrace.io/tx/0xe0bae7480cb152ca331d0d354cf838ccfd51c8d38f6b3cd0bcd46390480f1d4c	n/a	USDC	Avalanche	500.40344	0	$1.00	$500.40	550.4438	BTC	Avalanche	0.0042	0	$118881.00	$499.30
2025-08-15	9	3	https://snowtrace.io/tx/0x0b63132fca37ed6cf946dd114934212241d7500fba3d1f7227c266b7fed34ebc	n/a	BTC	Avalanche	0.004212	0	$118774.00	$500.28	0.0046332	USDC	Avalanche	500.25153	0	$1.00	$500.25
2025-08-15	10	0	https://snowtrace.io/tx/0x442d16a7befdd577f9155118d780e0a93eb24a9b274a4c3c65ac66c31283a26f	n/a	USDC	Avalanche	500.2518	0	$1.00	$500.25	550.277	BTC	Avalanche	0.004253	0	$118774.00	$505.15
2025-08-19	11	4	https://snowtrace.io/tx/0x95958a5040eca211b0fad968aaf91388bda3b30289a5f5178c2de6e52a16dc80	n/a	BTC	Avalanche	0.01325	0	$114561.00	$1517.93	0.014575	USDC	Avalanche	1498.1471	0	$1.00	$1498.15
2025-08-19	12	0	virtual_swap	2026-03-28	USDC	Avalanche	0	1761.7806	$1.00	$1761.78	1937.9587	BTC	Avalanche	0.026529	0	$66397.00	$1761.45
2025-08-25	13	4	virtual_swap	n/a	BTC	Avalanche	0	0.0137	$111395.00	$1526.11	0.015070001	USDC	Avalanche	1503.944	0	$1.00	$1503.94
2025-08-25	14	2	virtual_swap	n/a	USDC	Avalanche	0	3000	$1.00	$3000.00	3300	BTC	Avalanche	0.027307	0	$111395.00	$3041.86
2025-09-01	15	4	https://snowtrace.io/tx/0x04a0c66604663ac7d54ef291c0095e8d202e987c9d0c55198aaebc0c536e6ac7	n/a	BTC	Avalanche	0.003141	0	$108776.00	$341.67	0.0034551	USDC	Avalanche	340.55615	0	$1.00	$340.56
2025-09-01	16	0	https://snowtrace.io/tx/0x37efe81f95b7c3cb9c6780920b72059d4b6893142f4c642eb8b4d6cfd45a28af	n/a	USDC	Avalanche	743.42	0	$1.00	$743.42	817.762	BTC	Avalanche	0.006573	0	$108776.00	$714.98
2025-10-21	17	4	https://snowtrace.io/tx/0x08acef687be015e66be9b66265148362afb97084cda1e6f0711b1e62989cdd99	n/a	BTC	Avalanche	0	0.0042069	$108555.00	$456.68	0.00462759	USDC	Avalanche	478.3	0	$1.00	$478.30
2025-10-21	18	0	https://snowtrace.io/tx/0xcfd63129c32ab391df7b2463aad472bd78828043272fffe378346ef5665f688e	n/a	USDC	Avalanche	0	967.74207	$1.00	$967.74	1064.5162	BTC	Avalanche	0.008528	0	$108555.00	$925.76
2025-11-06	19	5	https://snowtrace.io/tx/0x320a9e312325dcffdcd1eca6332d22a7debd1ef5a009580e3126ba138611f0c5	n/a	BTC	Avalanche	0.0246	0	$103008.00	$2534.00	0.02706	USDC	Avalanche	2494.83	0	$1.00	$2494.83
2025-11-06	20	0	virtual_swap	2026-03-28	USDC	Avalanche	0	3268.615	$1.00	$3268.61	3595.4766	BTC	Avalanche	0.049219	0	$66397.00	$3267.99
2025-11-20	21	6	https://snowtrace.io/tx/0x87347d292581990062b7317d2da803d87ea7cac23349bc103a4eb269ac1f8ab5	n/a	BTC	Avalanche	0.0272	0	$91500.00	$2488.80	0.02992	USDC	Avalanche	2498.52	0	$1.00	$2498.52
2025-11-20	22	0	virtual_swap	2026-03-28	USDC	Avalanche	0	3610.3591	$1.00	$3610.36	3971.395	BTC	Avalanche	0.054365	0	$66397.00	$3609.67
2025-11-23	23	6	https://snowtrace.io/tx/0x3c52e13769937166b5d918a937c5f987ac3f7d398ca06bc8433e2666647c2d65	n/a	BTC	Avalanche	0.02854	0	$86526.00	$2469.45	0.031394	USDC	Avalanche	2496.44	0	$1.00	$2496.44
2025-11-23	24	0	virtual_swap	2026-03-28	USDC	Avalanche	0	3786.8757	$1.00	$3786.88	4165.5635	BTC	Avalanche	0.057023	0	$66397.00	$3786.16
2026-01-15	25	6	https://snowtrace.io/tx/0x633704b5318330e6ebd9c7df2000520fdd24bc26957529e1f29b902daa8973e2	n/a	BTC	Avalanche	0.0523	0	$96868.00	$5066.20	0.05753	USDC	Avalanche	5001.47	0	$1.00	$5001.47
2026-01-15	26	0	virtual_swap	2026-03-28	USDC	Avalanche	0	1736.1467	$1.00	$1736.15	1909.7615	BTC	Avalanche	0.026143	0	$66397.00	$1735.82
2026-04-02	27	0	virtual_swap	2026-04-11	BTC	Avalanche	0	0.019310473	$72787.00	$1405.55	0.02124152	USDC	Avalanche	1405.758	0	$1.00	$1405.76
2026-04-02	28	0	virtual_swap	n/a	USDC	Avalanche	0	16700	$1.00	$16700.00	18370	BTC	Avalanche	0.2515174	0	$66397.00	$16700.00
