opened	pivot	close	tx_id	from	from_blockchain	amount1	virtual	10% gain	quote1	val1	to	to_blockchain	quote2	amount computed	amount2	commission	gas token	gas	gas quote	gas $	net	val2	diff	δ	δETH	δUNDEAD	closed
2025-07-12	1	1	https://snowtrace.io/tx/0xfd6eea74e6d9a26de37c8569463f6c6295136a65fd6e055aef2dcc9da39cb575	UNDEAD	Avalanche	75000	0	82500	$0.002456	$184.20	ETH	Avalanche	$2,936.49	0.06273	0.06755		AVAX	0.0022541	$20.94	$0.05	0.06755	$198.37	$14.17	110249	0%	0%	*hedge
2025-07-12	2	6	virtual swap	ETH	Avalanche	0	0.15	0.165	$2,936.49	$440.47	UNDEAD	Avalanche	$0.002456	179346	154328		AVAX	0.0000000	$20.94	$0.00	154328	$379.03	-$61.44	110249	0%	0%	✅
2025-07-13	3	3	https://snowtrace.io/tx/0x8a40c1c2104ab6eda121a95d73ba4d75e7c8322fcc0bd1416536f8c8c27edf70	UNDEAD	Avalanche	100000	0	110000	$0.002468	$246.80	ETH	Avalanche	$2,978.81	0.08285	0.07456		AVAX	0.0006544	$21.46	$0.01	0.07456	$222.09	-$24.71	110171	0%	0%	*hedge
2025-07-13	4	7	virtual swap	ETH	Avalanche	0	0.15	0.165	$2,978.81	$446.82	UNDEAD	Avalanche	$0.002468	181046	166339		AVAX	0.0000000	$21.46	$0.00	166339	$410.52	-$36.30	110171	0%	0%	✅
2025-07-14	5	2	https://snowtrace.io/tx/0x9c3a69ce38c1c881793cefdebe6a1500456a6f2dd508e059182666a465a4acfe	UNDEAD	Avalanche	100000	0	110000	$0.002499	$249.90	ETH	Avalanche	$3,050.28	0.08193	0.06712		AVAX	0.0006345	$21.73	$0.01	0.06712	$204.74	-$45.16	111853	0%	0%	*hedge
2025-07-14	6	8	virtual swap	ETH	Avalanche	0	0.165	0.1815	$3,050.28	$503.30	UNDEAD	Avalanche	$0.002499	201399	200412		AVAX	0.0000000	$21.73	$0.00	200412	$500.83	-$2.47	111853	0%	0%	✅
2025-07-15	7	4	https://snowtrace.io/tx/0x7f537b315ac91d0caafd556507abd630b1c269af1e17279fe6ccba1b6516dc70	UNDEAD	Avalanche	135000	0	148500	$0.002495	$336.83	ETH	Avalanche	$2,980.76	0.11300	0.08705		AVAX	0.0011202	$20.96	$0.02	0.08705	$259.47	-$77.35	77906	0%	0%	*hedge
2025-07-15	8	9	virtual swap	ETH	Avalanche	0	0.165	0.1815	$2,980.76	$491.83	UNDEAD	Avalanche	$0.002495	197124	235291		AVAX	0.0000000	$20.96	$0.00	235291	$587.05	$95.23	77906	0%	0%	✅
2025-07-16	9	0	https://snowscan.xyz/tx/0x9cce78b5cc1881a4d0b145629674645d7cba08a53c1f00fcc0134cb8aa64c7f6	UNDEAD	Avalanche	160000	0	176000	$0.002528	$404.48	ETH	Avalanche	$3,176.85	0.12732	0.07382		AVAX	0.0007009	$22.14	$0.02	0.07382	$234.50	-$169.98	126625	0%	0%	*hedge
2025-07-16	10	5	virtual swap	ETH	Avalanche	0	0.15	0.165	$3,176.85	$476.53	UNDEAD	Avalanche	$0.002528	188500	295335		AVAX	0.0000000	$22.14	$0.00	295335	$746.61	$270.08	126625	0%	0%	✅
