opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-07-12	1	1	https://snowtrace.io/tx/0x0217c6dd107ef30b93a3f45ac835cee38d66819b7dfd0fbb4b030eebcb2f13ba	n/a	UNDEAD	Avalanche	75000	0	$0.002456	$184.20	82500	USDC	Avalanche	202.32	0	$1.00	$202.32
2025-07-12	2	5	https://snowtrace.io/tx/0x3dde3da0ba3f677d75ea4f3d927aa5bca4ce4311f4684bd3193e91cc68029ade	n/a	USDC	Avalanche	200	0	$1.00	$200.00	220	UNDEAD	Avalanche	72422	0	$0.002456	$177.87
2025-07-14	3	16	https://snowtrace.io/tx/0x38682cc33b669dde625b044165af98e3b356a1096f435a5750a4f74c6f5e4e96	n/a	UNDEAD	Avalanche	300000	0	$0.002499	$749.70	330000	USDC	Avalanche	533.04	0	$1.00	$533.04
2025-07-14	4	3	virtual_swap	n/a	USDC	Avalanche	0	500	$1.00	$500.00	550	UNDEAD	Avalanche	278990	0	$0.002499	$697.20
2025-07-15	5	16	https://snowtrace.io/tx/0x6e00f3be0138b2fccceb267a61dc86961cc6c1bafd3a17e239fe19439d4bac7e	n/a	UNDEAD	Avalanche	320000	0	$0.002495	$798.40	352000	USDC	Avalanche	500.55	0	$1.00	$500.55
2025-07-15	6	2	virtual_swap	n/a	USDC	Avalanche	0	500	$1.00	$500.00	550	UNDEAD	Avalanche	313359	0	$0.002495	$781.83
2025-07-16	7	0	https://snowtrace.io/tx/0x6eb759c6431c373a2be291df96ce39db1bb1f0d898879e5081b5108f568fc02c	n/a	UNDEAD	Avalanche	400000	0	$0.002528	$1011.20	440000	USDC	Avalanche	488.17	0	$1.00	$488.17
2025-07-16	8	4	virtual_swap	n/a	USDC	Avalanche	0	500	$1.00	$500.00	550	UNDEAD	Avalanche	291621	0	$0.002528	$737.22
2025-07-18	9	16	https://snowtrace.io/tx/0xd633c8ad6ce0133b01cef2ce0d22765962c235b64c9d0f1293cb84d4937bc693	n/a	UNDEAD	Avalanche	270000	0	$0.002317	$625.59	297000	USDC	Avalanche	502.2	0	$1.00	$502.20
2025-07-18	10	6	https://snowtrace.io/tx/0xd6f84e4723dcf5dfc927d5f6a7b9a303a344d517ccfdfdf235978d51ffe706c5	n/a	USDC	Avalanche	500	0	$1.00	$500.00	550	UNDEAD	Avalanche	264018	0	$0.002317	$611.73
2025-07-19	11	16	https://snowtrace.io/tx/0xc95329a51fc886b9d579cae2f8d56623e4652c8049e6618477b07ed2a09de904	n/a	UNDEAD	Avalanche	115000	0	$0.002173	$249.90	126500	USDC	Avalanche	253.5	0	$1.00	$253.50
2025-07-19	12	7	https://snowtrace.io/tx/0x21877076eae0c90a2f7440504f92ad7bb8ff6feb4d6d0c8ad2921798de4f1d14	n/a	USDC	Avalanche	500	0	$1.00	$500.00	550	UNDEAD	Avalanche	230646	0	$0.002173	$501.19
2025-07-20	13	16	https://snowtrace.io/tx/0x27810ead5d1549019eceaf59651249eed5044fb19732274eb243604b7a8bbb8a	n/a	UNDEAD	Avalanche	130000	0	$0.002226	$289.38	143000	USDC	Avalanche	254.13	0	$1.00	$254.13
2025-07-20	14	8	virtual_swap	n/a	USDC	Avalanche	0	500	$1.00	$500.00	550	UNDEAD	Avalanche	221908	0	$0.002226	$493.97
2025-07-21	15	16	https://snowtrace.io/tx/0x1088bed1d030ee89dedad9907183e4d8e1a49658a4edf248a5cc94337c2c368e	n/a	UNDEAD	Avalanche	108761	0	$0.002226	$242.10	119637.1	USDC	Avalanche	225.83	0	$1.00	$225.83
