date	pool	amount1	amount2
2025-07-30	BTC+ETH	0.0860	2.6807
2025-07-31	BTC+ETH	0.033333	0.0000
2025-08-17	BTC+ETH	0.019454	0.5119
2025-08-19	BTC+ETH	0.300000	0.0000
2025-08-31	BTC+ETH	0.002057	0.0169
2025-09-12	BTC+ETH	0.003168	0.0820
2025-09-28	BTC+ETH	0.001823	0.0497
2025-10-05	BTC+ETH	0.00613	0.1678
2025-10-25	BTC+ETH	0.50000	0.1992
2025-11-02	BTC+ETH	0.00441	0.2460
2025-11-03	BTC+ETH	0.00456	0.2559
2025-11-05	BTC+ETH	0.00467	0.2842
2026-02-27	BTC+ETH	0.05405	3.8506
2026-04-03	BTC+ETH	0.182132355	0.90038416
2026-04-09	BTC+ETH	0.001482333333	0.0484810473
