date	accum	weighted_start_date	invested	total_invested	blockchain	AVAX	AVAX quote	AVAX $	AVAX %	factor γAVAX	γAVAX	UNDEAD	UNDEAD quote	UNDEAD $	UNDEAD %	factor γUNDEAD	γUNDEAD	total-γ	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff	roi	apr
2026-07-01	2287185535	2026-01-06	$0.00	$49,690.95	Avalanche	753.8904	$6.61	$4,983.22	23.21%	0.0986	74.31	19,037,085	$0.000866	$16,486.12	76.79%	0.00002449	466.22	540.53	135.35	$21,469.33	$28.20	$6,879.10	$28,348.43	$15,817.43	$12,531.00	13.84%	28.74%
2026-06-30	2287185535	2026-01-06	$0.00	$49,690.95	Avalanche	673.3756	$6.57	$4,424.08	20.55%	0.0986	66.37	19,675,898	$0.0008693	$17,103.27	79.45%	0.00002449	481.87	548.24	135.56	$21,527.35	$0.00	$6,850.89	$28,378.25	$15,857.72	$12,520.52	13.79%	28.79%
2026-06-26	2287185535	2026-01-06	$0.00	$49,690.95	Avalanche	545.7426	$6.16	$3,361.77	15.76%	0.0986	53.79	20,675,898	$0.0008688	$17,963.22	84.24%	0.00002449	506.36	560.15	135.83	$21,324.99	$265.10	$6,850.89	$28,175.89	$15,729.86	$12,446.02	13.79%	29.46%
2026-06-12	2287185535	2026-01-06	$0.00	$49,690.95	Avalanche	792.5663	$6.55	$5,191.31	21.59%	0.0986	78.12	18,890,895	$0.000998	$18,853.11	78.41%	0.00002449	462.64	540.76	136.13	$24,044.42	$0.00	$6,585.80	$30,630.22	$17,914.26	$12,715.96	13.25%	30.85%
2026-06-11	2287185535	2026-01-06	$0.00	$49,690.95	Avalanche	654.6778	$6.58	$4,307.78	20.67%	0.0986	64.53	19,890,895	$0.000831	$16,529.33	79.33%	0.00002449	487.13	551.66	135.98	$20,837.11	$0.00	$6,585.80	$27,422.91	$15,247.95	$12,174.96	13.25%	31.05%
2026-06-09	2287185535	2026-01-06	$0.00	$49,690.95	Avalanche	517.6778	$6.77	$3,504.68	12.45%	0.0986	51.03	20,890,895	$0.001180	$24,651.26	87.55%	0.00002449	511.62	562.65	135.86	$28,155.93	$0.00	$6,585.80	$34,741.73	$20,894.42	$13,847.31	13.25%	31.46%
2026-04-13	2287185535	2026-01-06	$0.00	$49,690.95	Avalanche	376.2578	$9.02	$3,393.85	9.49%	0.0986	37.09	21,890,895	$0.001479	$32,376.63	90.51%	0.00002449	536.11	573.20	135.57	$35,770.48	$192.23	$6,585.80	$42,356.28	$26,346.16	$16,010.11	13.25%	49.98%
2026-04-10	2287185535	2026-01-06	$0.00	$49,690.95	Avalanche	379.4451	$9.26	$3,513.66	8.23%	0.0986	37.40	22,012,788	$0.001781	$39,204.78	91.77%	0.00002449	539.10	576.50	136.37	$42,718.44	$0.00	$6,393.57	$49,112.00	$31,254.47	$17,857.54	12.87%	50.07%
2026-04-08	2287185535	2026-01-06	$0.63	$49,690.95	Avalanche	278.5418	$9.39	$2,615.51	8.39%	0.0986	27.46	22,633,788	$0.001262	$28,563.84	91.61%	0.00002449	554.31	581.76	135.65	$31,179.35	$0.00	$6,393.57	$37,163.30	$22,978.96	$14,184.34	12.87%	51.16%
2026-04-04	2287156433	2026-01-06	$625.50	$49,690.32	Avalanche	413.5734	$8.90	$3,680.80	9.56%	0.0986	40.77	21,991,333	$0.001584	$34,828.77	90.44%	0.00002449	538.57	579.34	137.60	$38,509.58	$0.00	$6,393.57	$44,493.52	$27,988.02	$14,604.63	12.87%	53.50%
2026-03-31	2258310875	2026-01-05	$31,675.00	$49,064.82	Avalanche	413.5734	$8.90	$3,680.80	51.22%	0.0986	27.47	21,491,333	$0.001584	$34,036.90	48.78%	0.00002449	36.52	63.99	59.88	$37,717.70	$223.17	$6,393.57	$43,701.65	$27,988.02	$14,438.25	13.03%	56.02%
2026-01-28	797713275.3	2025-08-03	$0.00	$17,389.82	Avalanche	413.5734	$12.03	$4,975.29	61.55%	0.0986	40.77	1,491,333	$0.002084	$3,107.94	38.45%	0.00002449	36.52	77.29	77.02	$8,083.23	$186.44	$6,170.39	$14,067.17	$11,486.69	$2,580.49	35.48%	72.94%
2026-01-15	797713275.3	2025-08-03	$0.00	$17,389.82	Avalanche	324.0195	$13.72	$4,445.55	52.51%	0.0986	31.94	1,970,933	$0.002040	$4,020.70	47.49%	0.00002449	48.27	80.21	73.51	$8,466.25	$153.64	$5,983.95	$14,450.20	$11,816.23	$2,633.97	34.41%	76.32%
2025-10-25	797713275.3	2025-08-03	$788.61	$17,389.82	Avalanche	247.6271	$20.79	$5,148.17	43.57%	0.0986	24.41	2,513,251	$0.002653	$6,667.53	56.43%	0.00002449	61.55	85.96	72.69	$11,815.70	$0.00	$5,830.30	$17,646.00	$16,234.00	$1,412.00	33.53%	148.21%
2025-10-22	761472546.4	2025-07-30	$0.00	$16,601.21	Avalanche	229.0454	$19.29	$4,418.37	42.90%	0.0986	22.58	2,363,251	$0.002488	$5,879.77	57.10%	0.00002449	57.88	80.45	70.67	$10,298.14	$0.00	$5,830.30	$16,128.45	$14,533.29	$1,595.15	35.12%	153.54%
2025-10-08	761472546.4	2025-07-30	$0.00	$16,601.21	Avalanche	230.1558	$28.99	$6,673.22	50.51%	0.0986	22.69	2,364,138	$0.002766	$6,539.21	49.49%	0.00002449	57.90	80.58	70.82	$13,212.42	$40.36	$5,830.30	$19,042.73	$18,277.86	$764.87	35.12%	184.47%
2025-09-28	761472546.4	2025-07-30	$49.34	$16,601.21	Avalanche	250.0688	$28.87	$7,219.49	55.30%	0.0986	24.65	2,175,926	$0.002682	$5,835.83	44.70%	0.00002449	53.29	77.94	70.00	$13,055.32	$0.00	$5,789.94	$18,845.26	$17,935.22	$910.04	34.88%	213.98%
2025-09-04	759206301	2025-07-30	$0.00	$16,551.86	Avalanche	250.0688	$24.36	$6,091.96	49.26%	0.0986	24.65	2,157,528	$0.002908	$6,274.09	50.74%	0.00002449	52.84	77.49	69.68	$12,366.05	$291.40	$5,789.94	$18,155.99	$17,453.82	$702.17	34.98%	357.97%
2025-08-31	759206301	2025-07-30	$337.83	$16,551.86	Avalanche	272.6590	$24.02	$6,549.27	48.98%	0.0986	26.88	2,023,544	$0.003372	$6,822.52	51.02%	0.00002449	49.56	76.43	70.15	$13,371.79	$0.00	$5,498.54	$18,870.33	$19,049.32	-$178.99	33.22%	382.89%
2025-08-20	743699843.7	2025-07-29	$3,367.00	$16,214.03	Avalanche	272.6590	$23.49	$6,406.06	43.77%	0.0986	26.88	1,923,344	$0.004278	$8,228.07	56.23%	0.00002449	47.10	73.98	66.61	$14,634.12	$0.00	$5,498.54	$20,132.67	$21,872.78	-$1,740.11	33.91%	580.38%
2025-08-15	589191631.2	2025-07-24	$0.00	$12,847.03	Avalanche	272.4431	$23.98	$6,533.19	55.42%	0.0986	26.85	1,268,321	$0.004143	$5,254.65	44.58%	0.00002449	31.06	57.92	57.92	$11,787.84	$479.14	$5,498.54	$17,286.38	$18,960.56	-$1,674.17	42.80%	712.79%
2025-08-12	589191631.2	2025-07-24	$0.00	$12,847.03	Avalanche	312.5815	$24.59	$7,687.10	39.56%	0.0986	30.81	1,253,210	$0.009371	$11,743.83	60.44%	0.00002449	30.69	61.50	61.50	$19,430.93	$545.36	$5,019.40	$24,450.33	$34,557.47	-$10,107.14	39.07%	753.86%
