date	BNB	BNB quote	BNB $	BNB %	factor γBNB	γBNB	LTC	LTC quote	LTC $	LTC %	factor γLTC	γLTC	total γ	Total	Total without trades	diff
2025-04-17	0.1997	$586.96	$117.20	27.10%	115.29	23.02	4.1798	$75.41	$315.20	72.90%	21.11	88.23	111.25	$432.40	$357.01	$75.39
2025-03-13	0.1828	$578.64	$105.76	21.34%	115.29	21.07	4.3278	$90.08	$389.85	78.66%	21.11	91.35	112.42	$495.60	$426.63	$68.97
2025-03-04	0.3619	$567.68	$205.42	39.09%	115.29	41.72	3.1704	$100.97	$320.11	60.91%	21.11	66.92	108.64	$525.53	$478.32	$47.22
2025-02-28	0.6783	$575.01	$390.05	70.71%	115.29	78.20	1.3323	$121.25	$161.54	29.29%	21.11	28.12	106.33	$551.59	$574.54	-$22.95
2025-02-25	0.5010	$613.89	$307.56	55.76%	115.29	57.76	2.1710	$112.40	$244.02	44.24%	21.11	45.83	103.59	$551.58	$532.49	$19.09
2025-02-13	0.6670	$724.37	$483.15	64.72%	115.87	77.28	2.1710	$121.33	$263.41	35.28%	17.53	38.07	115.35	$746.56	$680.74	$65.82
2025-02-11	0.9170	$636.21	$583.40	84.23%	115.87	106.25	0.8540	$127.92	$109.24	15.77%	17.53	14.97	121.22	$692.65	$699.23	-$6.58
2025-02-10	0.7230	$602.59	$435.67	66.65%	115.87	83.77	1.8500	$117.84	$218.00	33.35%	17.53	32.44	116.21	$653.68	$646.53	$7.15
2025-02-08	0.3620	$624.72	$226.15	37.29%	115.87	41.94	3.6410	$104.47	$380.38	62.71%	17.53	63.84	105.79	$606.52	$586.29	$20.23
2025-01-15	0.5320	$688.71	$366.39	53.15%	115.87	61.64	2.6450	$122.08	$322.90	46.85%	17.53	46.38	108.02	$689.30	$697.93	-$8.63
2025-01-13	0.0241	$668.46	$16.11	2.94%	115.87	2.79	5.5810	$95.40	$532.43	97.06%	17.53	97.86	100.65	$548.54	$549.60	-$1.06
2025-01-10	0.1450	$696.16	$100.94	16.80%	115.87	16.80	4.7450	$105.35	$499.89	83.20%	17.53	83.20	100.00	$600.83	$600.83	$0.00
