date	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	AVAX	AVAX quote	AVAX $	AVAX %	factor γAVAX	γAVAX	total	adj	Total	Total without trades	diff
2025-10-25	0.448490	$111,713.00	$50,102.18	82.41%	581.62	260.85	546.3196	$19.57	$10,691.48	17.59%	0.1150	62.80	323.65	110.97	$60,793.66	$54,779.25	$6,014.40
2025-10-21	0.446980	$108,555.00	$48,521.93	82.18%	581.62	259.97	537.8098	$19.57	$10,524.94	17.82%	0.1150	61.82	321.80	111.20	$59,046.87	$53,179.06	$5,867.81
2025-10-20	0.442527	$110,660.00	$48,970.06	83.12%	581.62	257.38	489.2593	$20.32	$9,942.50	16.88%	0.1150	56.24	313.63	108.38	$58,912.56	$54,372.08	$4,540.47
2025-10-08	0.485847	$124,544.00	$60,509.35	89.22%	581.62	282.58	259.4517	$28.17	$7,309.37	10.78%	0.1150	29.83	312.40	107.96	$67,818.72	$63,499.63	$4,319.09
2025-09-01	0.447176	$108,776.00	$48,642.02	87.38%	581.62	260.09	304.1215	$23.09	$7,022.43	12.62%	0.1150	34.96	295.05	101.96	$55,664.45	$54,801.38	$863.07
2025-08-25	0.442142	$111,395.00	$49,252.41	86.07%	581.62	257.16	329.5448	$24.18	$7,968.29	13.93%	0.1150	37.88	295.04	101.96	$57,220.70	$56,352.60	$868.10
2025-08-19	0.419131	$114,561.00	$48,016.07	82.87%	581.62	243.77	438.8790	$22.62	$9,928.65	17.13%	0.1150	50.45	294.23	101.68	$57,944.72	$56,978.13	$966.59
2025-08-15	0.119131	$118,774.00	$14,149.67	57.72%	581.62	69.29	438.9628	$23.61	$10,363.66	42.28%	0.1150	50.46	119.75	100.25	$24,513.33	$24,438.61	$74.72
2025-08-12	0.114801	$118,881.00	$13,647.66	55.84%	581.62	66.77	458.1875	$23.55	$10,792.37	44.16%	0.1150	52.67	119.44	99.95	$24,440.03	$24,427.48	$12.56
2025-08-11	0.114801	$119,887.00	$13,763.15	56.40%	581.62	66.77	458.1875	$23.22	$10,637.65	43.60%	0.1150	52.67	119.44	99.95	$24,400.80	$24,400.62	$0.18
2025-08-10	0.114801	$118,367.00	$13,588.66	55.71%	581.62	66.77	458.1875	$23.58	$10,804.06	44.29%	0.1150	52.67	119.44	99.95	$24,392.72	$24,377.25	$15.46
2025-08-07	0.114896	$116,384.00	$13,372.06	56.07%	581.62	66.83	457.9253	$22.88	$10,475.49	43.93%	0.1150	52.64	119.47	99.98	$23,847.56	$23,834.48	$13.08
2025-08-06	0.114974	$113,883.00	$13,093.59	56.27%	581.62	66.87	457.7055	$22.24	$10,177.20	43.73%	0.1150	52.62	119.49	99.99	$23,270.79	$23,257.43	$13.37
2025-07-31	0.119300	$117,991.00	$14,076.37	58.18%	581.62	69.39	434.9462	$22.88	$10,119.12	41.82%	0.1150	50.00	119.39	99.95	$24,195.49	$24,195.49	$0.00
2025-07-30	0.085967	$117,633.00	$10,112.56	50.00%	581.62	50.00	434.9462	$23.25	$10,112.50	50.00%	0.1150	50.00	100.00	100.00	$20,225.06	$20,225.06	$0.00
