date	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	ETH	ETH quote	ETH $	ETH %	factor γETH	γETH	total	γadj	Total	Total without trades	diff
2025-12-06	0.462963	$89,617.00	$41,489.34	37.38%	581.62	269.27	22.9278	$3,031.24	$69,499.78	62.62%	18.6520	427.65	696.92	111.72	$110,989.12	$99,866.96	$11,122.16
2025-11-28	0.481243	$91,525.00	$44,045.75	39.18%	581.62	279.90	22.5265	$3,035.23	$68,373.22	60.82%	18.6520	420.17	700.07	112.21	$112,418.97	$98,674.51	$13,744.46
2025-11-26	0.536243	$86,651.00	$46,465.97	43.27%	581.62	311.89	20.9732	$2,904.08	$60,907.96	56.73%	18.6520	391.19	703.08	112.62	$107,373.94	$93,554.64	$13,819.30
2025-11-23	0.593243	$86,526.00	$51,330.93	48.45%	581.62	345.04	19.2750	$2,833.64	$54,618.52	51.55%	18.6520	359.52	704.56	112.78	$105,949.45	$93,126.60	$12,822.85
2025-11-22	0.707443	$83,520.00	$59,085.62	57.87%	581.62	411.46	15.7445	$2,732.01	$43,014.24	42.13%	18.6520	293.67	705.13	112.71	$102,099.86	$89,877.19	$12,222.67
2025-11-05	0.857400	$102,636.00	$88,000.09	70.21%	581.62	498.68	11.1778	$3,340.95	$37,344.63	29.79%	18.6520	208.49	707.17	112.83	$125,344.71	$110,375.85	$14,968.87
2025-11-03	0.949730	$107,858.00	$102,435.96	77.56%	581.62	552.38	7.9763	$3,715.49	$29,636.04	22.44%	18.6520	148.77	701.16	114.31	$132,072.00	$115,522.38	$16,549.62
2025-11-02	0.992270	$110,308.00	$109,455.30	81.78%	581.62	577.12	6.3215	$3,857.83	$24,387.45	18.22%	18.6520	117.91	695.03	114.42	$133,842.75	$116,954.96	$16,887.80
2025-10-25	0.987860	$111,713.00	$110,356.78	82.14%	581.62	574.56	6.0755	$3,950.44	$24,001.08	17.86%	18.6520	113.32	687.88	114.65	$134,357.87	$117,159.73	$17,198.14
2025-10-20	0.487860	$110,660.00	$53,986.57	68.80%	581.62	283.75	6.0755	$4,029.59	$24,481.96	31.20%	18.6520	113.32	397.07	125.75	$78,468.53	$63,936.56	$14,531.97
2025-10-10	0.483590	$112,464.00	$54,386.44	70.61%	581.62	281.27	5.9549	$3,802.00	$22,640.71	29.39%	18.6520	111.07	392.34	124.22	$77,027.15	$63,902.97	$13,124.19
2025-10-05	0.583470	$123,261.00	$71,919.14	82.77%	581.62	339.36	3.2921	$4,547.28	$14,969.93	17.23%	18.6520	61.40	400.76	121.59	$86,889.06	$71,432.93	$15,456.13
2025-09-30	0.577340	$113,056.00	$65,271.79	83.39%	581.62	335.79	3.1243	$4,162.11	$13,003.55	16.61%	18.6520	58.27	394.07	122.44	$78,275.34	$63,919.58	$14,355.75
2025-09-28	0.603926	$110,174.00	$66,536.98	87.17%	581.62	351.26	2.4230	$4,040.39	$9,789.91	12.83%	18.6520	45.19	396.45	122.59	$76,326.89	$62,236.02	$14,090.87
2025-09-19	0.603926	$116,405.00	$70,300.04	86.47%	581.62	351.26	2.4230	$4,541.24	$11,003.48	13.53%	18.6520	45.19	396.45	122.66	$81,303.52	$66,275.09	$15,028.42
2025-09-02	0.578442	$108,776.00	$62,920.64	102.32%	581.62	336.43	-0.3246	$4,393.12	-$1,425.96	-2.32%	18.6520	-6.05	330.38	99.14	$61,494.68	$61,668.26	-$173.57
2025-08-31	0.576475	$108,355.00	$62,463.98	101.99%	581.62	335.29	-0.2732	$4,471.07	-$1,221.45	-1.99%	18.6520	-5.10	330.19	99.17	$61,242.54	$61,744.62	-$502.09
2025-08-29	0.567149	$108,078.00	$61,296.35	100.80%	581.62	329.87	-0.1119	$4,328.55	-$484.27	-0.80%	18.6520	-2.09	327.78	101.66	$60,812.07	$60,861.00	-$48.92
2025-08-25	0.553532	$111,395.00	$61,660.75	98.24%	581.62	321.95	0.2395	$4,609.46	$1,103.91	1.76%	18.6520	4.47	326.41	101.56	$62,764.66	$63,217.17	-$452.51
2025-08-24	0.538239	$114,701.00	$61,736.61	95.37%	581.62	313.05	0.6236	$4,810.58	$2,999.91	4.63%	18.6520	11.63	324.68	101.38	$64,736.52	$65,305.45	-$568.93
2025-08-19	0.486373	$114,561.00	$55,719.43	87.44%	581.62	282.88	1.8775	$4,261.27	$8,000.32	12.56%	18.6520	35.02	317.90	100.43	$63,719.75	$63,433.55	$286.20
2025-08-17	0.173136	$118,311.00	$20,483.89	66.78%	581.62	100.70	2.2403	$4,547.86	$10,188.57	33.22%	18.6520	41.79	142.49	97.56	$30,672.46	$31,428.17	-$755.70
2025-08-15	0.149323	$118,774.00	$17,735.65	67.48%	581.62	86.85	1.8404	$4,644.40	$8,547.42	32.52%	18.6520	34.33	121.18	101.48	$26,283.07	$26,619.91	-$336.84
2025-08-12	0.145146	$118,881.00	$17,255.06	67.04%	581.62	84.42	1.9528	$4,344.17	$8,483.30	32.96%	18.6520	36.42	120.84	101.20	$25,738.36	$25,827.86	-$89.49
2025-08-11	0.136120	$119,887.00	$16,318.98	64.04%	581.62	79.17	2.1935	$4,178.51	$9,165.40	35.96%	18.6520	40.91	120.08	100.55	$25,484.38	$25,512.37	-$27.99
2025-08-10	0.131962	$118,367.00	$15,619.91	61.73%	581.62	76.75	2.3117	$4,189.81	$9,685.38	38.27%	18.6520	43.12	119.87	100.37	$25,305.29	$25,361.22	-$55.93
2025-08-07	0.127842	$116,384.00	$14,878.71	61.50%	581.62	74.36	2.4284	$3,836.05	$9,315.35	38.50%	18.6520	45.29	119.65	100.18	$24,194.07	$24,167.86	$26.21
2025-08-06	0.123628	$113,883.00	$14,079.08	60.56%	581.62	71.90	2.5549	$3,588.72	$9,168.83	39.44%	18.6520	47.65	119.56	100.10	$23,247.90	$23,206.48	$41.43
2025-07-31	0.119300	$117,991.00	$14,076.37	58.18%	581.62	69.39	2.6807	$3,774.84	$10,119.12	41.82%	18.6520	50.00	119.39	99.95	$24,195.49	$24,195.49	$0.00
2025-07-30	0.085967	$117,633.00	$10,112.56	50.00%	581.62	50.00	2.6807	$3,772.37	$10,112.50	50.00%	18.6520	50.00	100.00	100.00	$20,225.06	$20,225.06	$0.00
