date	blockchain	BTC	BTC quote	BTC $	BTC %	factor γBTC	γBTC	UNDEAD	UNDEAD quote	UNDEAD $	UNDEAD %	factor γUNDEAD	γUNDEAD	total-γ	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff
2026-04-08	Avalanche	0.086100	$71,774.00	$6,179.74	19.37%	719.58	61.96	20,377,956	$0.001262	$25,716.98	80.63%	0.00004523	921.67	983.62	128.13	$31,896.72	$0.00	$7,036.03	$38,932.75	$25,009.57	$13,923.18
2026-04-04	Avalanche	0.086100	$66,988.00	$5,767.67	15.27%	719.58	61.96	20,210,553	$0.001584	$32,008.46	84.73%	0.00004523	914.10	976.05	126.57	$37,776.13	$0.00	$7,036.03	$44,812.16	$30,616.56	$14,195.60
2026-04-02	Avalanche	0.086100	$66,909.00	$5,760.86	15.58%	719.58	61.96	19,710,553	$0.001584	$31,216.59	84.42%	0.00004523	891.48	953.44	123.62	$36,977.45	$0.00	$7,036.03	$44,013.49	$30,182.59	$13,830.89
2026-03-31	Avalanche	0.071067	$67,242.00	$4,778.69	12.84%	719.58	51.14	20,480,553	$0.001584	$32,436.08	87.16%	0.00004523	926.31	977.45	124.31	$37,214.76	$0.00	$7,036.03	$44,250.80	$30,191.58	$14,059.21
2026-03-17	Avalanche	0.054885	$73,860.00	$4,053.81	58.71%	719.58	39.49	1,147,353	$0.002485	$2,851.17	41.29%	0.00004523	51.89	91.39	68.37	$6,904.98	$348.11	$7,036.03	$13,941.01	$12,205.53	$1,735.48
2026-01-22	Avalanche	0.027154	$89,405.00	$2,427.70	36.61%	719.58	19.54	2,058,315	$0.002042	$4,203.08	63.39%	0.00004523	93.09	112.63	63.18	$6,630.78	$38.33	$6,687.92	$13,318.71	$10,805.02	$2,513.69
2025-12-25	Avalanche	0.022350	$87,436.00	$1,954.20	34.05%	719.58	16.08	2,275,719	$0.001663	$3,784.59	65.95%	0.00004523	102.93	119.01	63.45	$5,738.78	$24.93	$6,649.59	$12,388.38	$9,194.65	$3,193.73
2025-10-25	Avalanche	0.027280	$111,713.00	$3,047.53	36.56%	719.58	19.63	2,005,752	$0.002637	$5,288.49	63.44%	0.00004523	90.72	110.35	62.25	$8,336.02	$0.00	$6,624.66	$14,960.68	$13,850.92	$1,109.76
2025-10-21	Avalanche	0.023860	$108,555.00	$2,590.12	34.82%	719.58	17.17	1,855,752	$0.002613	$4,849.08	65.18%	0.00004523	83.93	101.10	60.09	$7,439.20	$0.00	$6,624.66	$14,063.87	$12,905.22	$1,158.65
2025-10-11	Avalanche	0.024002	$112,303.00	$2,695.50	35.42%	719.58	17.27	1,852,348	$0.002653	$4,914.19	64.58%	0.00004523	83.78	101.05	60.15	$7,609.68	$0.00	$6,624.66	$14,234.35	$12,905.22	$1,329.13
2025-10-07	Avalanche	0.022912	$124,544.00	$2,853.58	36.39%	719.58	16.49	1,803,343	$0.002766	$4,988.05	63.61%	0.00004523	81.56	98.05	59.25	$7,841.63	$99.03	$6,624.66	$14,466.29	$13,601.76	$864.53
2025-09-28	Avalanche	0.031981	$110,174.00	$3,523.50	42.45%	719.58	23.01	1,781,138	$0.002682	$4,777.01	57.55%	0.00004523	80.56	103.57	66.82	$8,300.51	$0.00	$6,525.63	$14,826.14	$12,949.99	$1,876.15
2025-09-03	Avalanche	0.031981	$111,384.00	$3,562.20	40.83%	719.58	23.01	1,762,740	$0.00293	$5,163.07	59.17%	0.00004523	79.73	102.74	64.15	$8,725.26	$0.00	$6,525.63	$15,250.90	$13,878.15	$1,372.74
2025-09-02	Avalanche	0.027419	$109,292.00	$2,996.70	35.07%	719.58	19.73	1,943,740	$0.00285	$5,547.43	64.93%	0.00004523	87.91	107.64	64.94	$8,544.14	$309.04	$6,525.63	$15,069.77	$13,539.93	$1,529.84
2025-08-31	Avalanche	0.045157	$108,355.00	$4,893.01	46.38%	719.58	32.49	1,677,312	$0.003372	$5,655.90	53.62%	0.00004523	75.86	108.36	71.92	$10,548.91	$0.00	$6,216.60	$16,765.50	$15,529.08	$1,236.42
2025-08-25	Avalanche	0.045157	$111,395.00	$5,030.29	44.51%	719.58	32.49	1,577,112	$0.003977	$6,272.17	55.49%	0.00004523	71.33	103.82	61.52	$11,302.47	$0.00	$6,216.60	$17,519.06	$17,359.78	$159.28
2025-08-20	Avalanche	0.045129	$114,561.00	$5,170.05	41.33%	719.58	32.47	1,707,112	$0.004300	$7,340.58	58.67%	0.00004523	77.21	109.68	65.00	$12,510.63	$47.73	$6,216.60	$18,727.23	$18,637.09	$90.13
