date	accum	weighted_start_date	invested	total_invested	blockchain	ETH	ETH quote	ETH $	ETH %	factor γETH	γETH	UNDEAD	UNDEAD quote	UNDEAD $	UNDEAD %	factor γUNDEAD	γUNDEAD	total-γ	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff	roi	apr
2026-07-15	2363495375	2026-01-02	$0.00	$51,352.74	Avalanche	3.5653	$1,871.08	$6,670.96	30.31%	11.37	40.53	17,314,699	$0.0008860	$15,340.82	69.69%	0.0000235	406.36	446.89	106.32	$22,011.79	$633.42	$10,219.15	$32,230.93	$20,029.02	$12,201.91	19.90%	37.58%
2026-06-30	2363495375	2026-01-02	$0.00	$51,352.74	Avalanche	5.2153	$1,646.41	$8,586.52	39.98%	11.37	59.29	14,832,550	$0.0008693	$12,893.19	60.02%	0.0000235	348.11	407.40	107.24	$21,479.72	$0.00	$9,585.72	$31,065.44	$19,302.34	$11,763.11	18.67%	38.22%
2026-06-26	2363495375	2026-01-02	$0.00	$51,352.74	Avalanche	4.6641	$1,559.10	$7,271.74	35.60%	11.37	53.03	15,832,550	$0.000831	$13,156.85	64.40%	0.0000235	371.57	424.60	107.72	$20,428.59	$0.00	$9,585.72	$30,014.32	$18,425.64	$11,588.68	18.67%	39.09%
2026-06-12	2363495375	2026-01-02	$0.00	$51,352.74	Avalanche	4.1340	$1,658.63	$6,856.73	28.99%	11.37	47.00	16,832,550	$0.000998	$16,798.88	71.01%	0.0000235	395.04	442.04	108.35	$23,655.61	$662.24	$9,585.72	$33,241.34	$21,735.44	$11,505.90	18.67%	42.51%
2026-06-11	2363495375	2026-01-02	$0.00	$51,352.74	Avalanche	4.4080	$1,652.66	$7,284.94	32.10%	11.37	50.12	18,543,990	$0.000831	$15,410.06	67.90%	0.0000235	435.21	485.32	118.27	$22,695.00	$0.00	$8,923.48	$31,618.48	$18,597.66	$13,020.82	17.38%	39.82%
2026-06-10	2363495375	2026-01-02	$0.00	$51,352.74	Avalanche	3.8351	$1,630.16	$6,251.75	24.99%	11.37	43.60	19,543,990	$0.000960	$18,762.23	75.01%	0.0000235	458.68	502.28	118.59	$25,013.98	$0.00	$8,923.48	$33,937.47	$20,971.61	$12,965.86	17.38%	40.07%
2026-06-09	2363495375	2026-01-02	$0.00	$51,352.74	Avalanche	3.3371	$1,688.62	$5,635.09	18.86%	11.37	37.94	20,543,990	$0.001180	$24,241.91	81.14%	0.0000235	482.15	520.09	119.46	$29,877.00	$0.00	$8,923.48	$38,800.48	$25,198.24	$13,602.24	17.38%	40.33%
2026-05-20	2363495375	2026-01-02	$0.00	$51,352.74	Avalanche	2.7430	$2,129.94	$5,842.33	16.85%	11.37	31.18	21,543,990	$0.001338	$28,825.86	83.15%	0.0000235	505.62	536.80	119.62	$34,668.19	$0.00	$8,923.48	$43,591.68	$28,967.93	$14,623.75	17.38%	46.20%
2026-05-12	2363495375	2026-01-02	$0.00	$51,352.74	Avalanche	2.2951	$2,337.67	$5,365.11	14.22%	11.37	26.09	22,343,990	$0.001449	$32,376.44	85.78%	0.0000235	524.39	550.48	119.95	$37,741.55	$93.41	$8,923.48	$46,665.04	$31,428.15	$15,236.89	17.38%	49.06%
2026-04-28	2363495375	2026-01-02	$0.00	$51,352.74	Avalanche	1.8744	$2,273.54	$4,261.42	11.31%	11.37	21.31	23,039,350	$0.001451	$33,420.42	88.69%	0.0000235	540.71	562.02	120.00	$37,681.83	$205.69	$8,830.07	$46,511.91	$31,339.83	$15,172.08	17.19%	54.44%
