date	blockchain	UNDEAD	UNDEAD quote	UNDEAD $	UNDEAD %	factor γUNDEAD	γUNDEAD	USDC	USDC quote	USDC $	USDC %	factor γUSDC	γUSDC	total-γ	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff
2026-04-10	Avalanche	23260394	$0.001781	$41,426.76	95.90%	0.00002246	522.42	1,769.98	$1.00	$1,769.98	4.10%	0.00668	11.83	534.26	118.45	$43,196.74	$0.00	$3,990.32	$47,187.06	$33,833.70	$13,353.36
2026-04-04	Avalanche	23890394	$0.001251	$29,886.88	97.45%	0.00002246	536.57	780.69	$1.00	$780.69	2.55%	0.00668	5.22	541.79	117.67	$30,667.57	$0.00	$3,990.32	$34,657.89	$25,303.81	$9,354.09
2026-03-31	Avalanche	24590394	$0.001400	$34,426.55	100.00%	0.00002246	552.30	0.15	$1.00	$0.15	0.00%	0.00668	0.00	552.30	120.49	$34,426.70	$0.00	$3,990.32	$38,417.02	$27,031.88	$11,385.14
2025-12-12	Avalanche	4590394	$0.001400	$6,426.55	138.35%	0.00002246	103.10	-1,781.53	$1.00	-$1,781.53	-38.35%	0.00668	-11.91	91.19	65.92	$4,645.02	$799.97	$3,990.32	$8,635.34	$10,497.58	-$1,862.24
2025-10-28	Avalanche	2344143	$0.002589	$6,068.99	69.06%	0.00002246	52.65	2,718.47	$1.00	$2,718.47	30.94%	0.00668	18.17	70.82	56.38	$8,787.46	$0.00	$3,190.35	$11,977.80	$15,685.08	-$3,707.28
2025-10-08	Avalanche	2540143	$0.002723	$6,916.81	75.59%	0.00002246	57.05	2,233.10	$1.00	$2,233.10	24.41%	0.00668	14.93	71.98	56.63	$9,149.91	$0.00	$3,190.35	$12,340.26	$16,269.71	-$3,929.46
2025-09-28	Avalanche	2710143	$0.002682	$7,268.60	80.64%	0.00002246	60.87	1,744.84	$1.00	$1,744.84	19.36%	0.00668	11.66	72.53	56.43	$9,013.44	$0.00	$3,190.35	$12,203.79	$16,033.01	-$3,829.21
2025-09-05	Avalanche	2691745	$0.002930	$7,886.81	81.88%	0.00002246	60.46	1,744.84	$1.00	$1,744.84	18.12%	0.00668	11.66	72.12	58.41	$9,631.65	$212.57	$3,190.35	$12,822.00	$17,129.96	-$4,307.96
2025-08-31	Avalanche	2570281	$0.003372	$8,665.88	79.45%	0.00002246	57.73	2,240.95	$1.00	$2,240.95	20.55%	0.00668	14.98	72.71	58.88	$10,906.83	$0.00	$2,977.78	$13,884.61	$19,050.03	-$5,165.42
2025-08-20	Avalanche	2470081	$0.004147	$10,243.43	82.05%	0.00002246	55.48	2,240.95	$1.00	$2,240.95	17.95%	0.00668	14.98	70.46	59.18	$12,484.37	$0.00	$2,977.78	$15,462.15	$22,083.98	-$6,621.83
