name	dapp	blockchain	pool	p1	p2	staker	hash	checksum	alias	reinvest	addy	pool hash	activated	href	incept	ROI	APR	TVL	BTC $	ETH $	AVAX $	HBAR $	USDC $	UNDEAD $
BTC+ETH	pools	Avalanche	BTC+ETH	BTC	ETH	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0	checksum	α	100%	0x97796a6ee7b185C991C4247b2dba943653BEa5b6	0	2025-07-31	pools.html	2025-07-31	3.49%	5.93%	$23,523.71	$22,898.41	$625.30	$0.00	$0.00	$0.00	$0.00
BTC+AVAX	pools	Avalanche	BTC+AVAX	BTC	AVAX	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0	checksum	α	100%	0xE93B9A5Fd164B892289fCDa6F2830b6f88B14dc6	0	2025-07-31	pools.html	2025-07-31	-15.90%	-26.99%	$19,116.43	$18,488.12	$0.00	$628.32	$0.00	$0.00	$0.00
BTC+USDC	pools	Avalanche	BTC+USDC	BTC	USDC	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0	checksum	α	100%	0xAc436d1Ba51c9cf206818b331c9dAA1ca368Ab66	0	2025-07-31	pools.html	2025-07-31	3.00%	5.09%	$23,411.48	$23,229.61	$0.00	$0.00	$0.00	$181.86	$0.00
BTC+UNDEAD	pools	Avalanche	BTC+UNDEAD	BTC	UNDEAD	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0	checksum	α	100%	0xD0037572b3906e79F2F87CF47F65DDeBdE46Cc33	0	2025-07-31	pools.html	2025-07-31	4.04%	6.85%	$1,608.06	$0.00	$0.00	$0.00	$0.00	$0.00	$1,608.06
ETH+UNDEAD	pools	Avalanche	ETH+UNDEAD	ETH	UNDEAD	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0	checksum	α	100%	0x28695b6193735f1dDa134864B653ff3a7466D107	0	2025-07-31	pools.html	2025-07-31	1.52%	2.58%	$1,569.19	$0.00	$0.00	$0.00	$0.00	$0.00	$1,569.19
AVAX+UNDEAD	pools	Avalanche	AVAX+UNDEAD	AVAX	UNDEAD	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0	checksum	α	100%	0x0BA882a9E2695fCcAD7F52803CB6AE685a71AE44	0	2025-07-31	pools.html	2025-07-31	2.94%	4.99%	$1,591.13	$0.00	$0.00	$9.89	$0.00	$0.00	$1,581.24
UNDEAD+USDC	pools	Avalanche	UNDEAD+USDC	UNDEAD	USDC	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0	checksum	α	100%	0xd4201758449aa32240Cfc9343b5D942B9E61B524	0	2025-07-31	pools.html	2025-07-31	16.38%	27.81%	$1,798.91	$0.00	$0.00	$0.00	$0.00	$0.00	$1,798.91
HBAR+UNDEAD	pools	Hedera	HBAR+UNDEAD	HBAR	UNDEAD	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0	checksum	α	100%	0xcb1a7e2eac8c745e16bedb191b60d366cab3a84d	0.0.10072463	2026-02-28	pools.html	2026-02-28	0.00%	0.00%	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
BTC+HBAR	pools	Hedera	BTC+HBAR	BTC	HBAR	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0	checksum	α	100%	0x44b90502401d39859F2539dE423340Ba66c8B14B	0.0.9952359	2025-12-07	pools.html	2025-12-07	112.22%	476.30%	$4,823.92	$4,692.02	$0.00	$0.00	$131.90	$0.00	$0.00
HBAR+USDC	pools	Hedera	HBAR+USDC	HBAR	USDC	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0	checksum	α	100%	0x44b90502401d39859F2539dE423340Ba66c8B14B	0.0.9952359	2025-10-30	pools.html	2025-10-30	0.00%	0.00%	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
