name	dapp	blockchain	pool	p1	p2	staker	hash	checksum	alias	reinvest	addy	pool hash	activated	href	incept	ROI	APR	TVL	BTC $	ETH $	AVAX $	HBAR $	USDC $	UNDEAD $
BTC+ETH	pools	Avalanche	BTC+ETH	BTC	ETH	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0	checksum	ι	100%	0x97796a6ee7b185C991C4247b2dba943653BEa5b6	0	2025-10-25	pools.html	2025-10-25	-32.29%	-82.43%	$37,817.67	$37,076.98	$740.69	$0.00	$0.00	$0.00	$0.00
BTC+AVAX	pools	Avalanche	BTC+AVAX	BTC	AVAX	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0	checksum	ι	100%	0xE93B9A5Fd164B892289fCDa6F2830b6f88B14dc6	0	2025-10-25	pools.html	2025-10-25	0.00%	0.00%	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
BTC+USDC	pools	Avalanche	BTC+USDC	BTC	USDC	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0	checksum	ι	100%	0xAc436d1Ba51c9cf206818b331c9dAA1ca368Ab66	0	2025-10-25	pools.html	2025-10-25	0.00%	0.00%	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
BTC+UNDEAD	pools	Avalanche	BTC+UNDEAD	BTC	UNDEAD	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0	checksum	ι	100%	0xD0037572b3906e79F2F87CF47F65DDeBdE46Cc33	0	2025-10-25	pools.html	2025-10-25	0.42%	1.06%	$794.40	$20.19	$0.00	$0.00	$0.00	$0.00	$774.21
ETH+UNDEAD	pools	Avalanche	ETH+UNDEAD	ETH	UNDEAD	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0	checksum	ι	100%	0x28695b6193735f1dDa134864B653ff3a7466D107	0	2025-10-25	pools.html	2025-10-25	-5.76%	-14.71%	$745.50	$0.00	$0.00	$0.00	$0.00	$0.00	$745.50
AVAX+UNDEAD	pools	Avalanche	AVAX+UNDEAD	AVAX	UNDEAD	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0	checksum	ι	100%	0x0BA882a9E2695fCcAD7F52803CB6AE685a71AE44	0	2025-10-25	pools.html	2025-10-25	-5.24%	-13.38%	$749.63	$0.00	$0.00	$4.13	$0.00	$0.00	$745.50
UNDEAD+USDC	pools	Avalanche	UNDEAD+USDC	UNDEAD	USDC	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0	checksum	ι	100%	0xd4201758449aa32240Cfc9343b5D942B9E61B524	0	2025-10-25	pools.html	2025-10-25	0.00%	0.00%	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
HBAR+UNDEAD	pools	Hedera	HBAR+UNDEAD	HBAR	UNDEAD	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0	checksum	ι	100%	0xcb1a7e2eac8c745e16bedb191b60d366cab3a84d	0.0.10072463	2026-02-28	pools.html	2026-02-28	0.00%	0.00%	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
BTC+HBAR	pools	Hedera	BTC+HBAR	BTC	HBAR	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0	checksum	ι	100%	0x44b90502401d39859F2539dE423340Ba66c8B14B	0.0.9952359	2025-12-07	pools.html	2025-12-07	0.00%	0.00%	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
HBAR+USDC	pools	Hedera	HBAR+USDC	HBAR	USDC	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0	checksum	ι	100%	0x44b90502401d39859F2539dE423340Ba66c8B14B	0.0.9952359	2025-10-30	pools.html	2025-10-30	0.00%	0.00%	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
