name	dapp	blockchain	pool	p1	p2	staker	hash	checksum	alias	reinvest	addy	pool hash	activated	href	incept	ROI	APR	TVL	BTC $	ETH $	AVAX $	HBAR $	USDC $	UNDEAD $
BTC+ETH	pools	Avalanche	BTC+ETH	BTC	ETH	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	zpxyo	γ	0%	0x97796a6ee7b185C991C4247b2dba943653BEa5b6	0	2025-06-17	pools.html	2025-07-30	10.37%	13.86%	$33,980.50	-$34,526.41	$69,744.41	$5.00	$0.00	$0.00	-$1,242.50
BTC+AVAX	pools	Avalanche	BTC+AVAX	BTC	AVAX	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	zpxyo	γ	0%	0xE93B9A5Fd164B892289fCDa6F2830b6f88B14dc6	0	2025-08-20	pools.html	2025-07-30	5.41%	9.45%	$5,939.26	-$4,941.29	$0.00	$11,138.98	$0.00	$0.00	-$258.44
BTC+USDC	pools	Avalanche	BTC+USDC	BTC	USDC	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	zpxyo	γ	0%	0xAc436d1Ba51c9cf206818b331c9dAA1ca368Ab66	0	2025-08-06	pools.html	2025-07-30	4.86%	7.95%	$14,220.78	$13,061.34	$0.00	$3.94	$0.00	$1,155.50	$0.00
BTC+UNDEAD	pools	Avalanche	BTC+UNDEAD	BTC	UNDEAD	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	zpxyo	γ	0%	0xD0037572b3906e79F2F87CF47F65DDeBdE46Cc33	0	2025-08-06	pools.html	2025-07-17	54.18%	88.68%	$4,343.45	$3,896.74	$0.02	$4.40	$0.00	$0.00	$442.29
ETH+UNDEAD	pools	Avalanche	ETH+UNDEAD	ETH	UNDEAD	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	zpxyo	γ	0%	0x28695b6193735f1dDa134864B653ff3a7466D107	0	2025-08-06	pools.html	2025-07-12	2.65%	4.34%	$7,758.22	$0.00	$5,310.49	$5.10	$0.00	$0.00	$2,442.63
AVAX+UNDEAD	pools	Avalanche	AVAX+UNDEAD	AVAX	UNDEAD	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	zpxyo	γ	0%	0x0BA882a9E2695fCcAD7F52803CB6AE685a71AE44	0	2025-07-17	pools.html	2025-07-07	41.86%	62.88%	$5,591.14	$0.00	$0.09	$4,223.97	$0.00	$0.00	$1,367.07
UNDEAD+USDC	pools	Avalanche	UNDEAD+USDC	UNDEAD	USDC	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	zpxyo	γ	0%	0xd4201758449aa32240Cfc9343b5D942B9E61B524	0	2025-07-12	pools.html	2025-07-12	-9.78%	-14.39%	$6,758.56	$0.00	$42.74	$5.12	$0.00	-$1,781.53	$8,492.23
HBAR+UNDEAD	pools	Hedera	HBAR+UNDEAD	HBAR	UNDEAD	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	checksum	γ	0%	0xcb1a7e2eac8c745e16bedb191b60d366cab3a84d	0.0.10072463	2026-02-28	pools.html	2026-02-28	0.00%	0.00%	$2,221.29	$0.00	$0.00	$0.00	$985.00	$0.00	$1,236.29
BTC+HBAR	pools	Hedera	BTC+HBAR	BTC	HBAR	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	zpxyo	γ	0%	0x44b90502401d39859F2539dE423340Ba66c8B14B	0.0.9952359	2025-12-07	pools.html	2025-12-07	4.78%	17.43%	$6,628.53	$1,285.18	$0.00	$0.00	$5,407.96	$0.00	-$64.61
HBAR+USDC	pools	Hedera	HBAR+USDC	HBAR	USDC	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.0.10074878	zpxyo	γ	0%	0x44b90502401d39859F2539dE423340Ba66c8B14B	0.0.9952359	2025-10-30	pools.html	2025-10-30	12.45%	25.82%	$745.66	$0.00	$0.00	$0.00	$636.50	$109.15	$0.00
