2026-09-15	BTC pools			BTC+ETH						BTC+AVAX						BTC+USDC						BTC+UNDEAD					ETH+UNDEAD					AVAX+UNDEAD					UNDEAD+USDC			
	asset	addy	BTC	ETH	UNDEAD	reinvest	TVL	%	BTC	AVAX	UNDEAD	reinvest	TVL	%	BTC	USDC	UNDEAD	reinvest	TVL	%	BTC	UNDEAD	TVL	%	reinvest	ETH	UNDEAD	TVL	%	reinvest	AVAX	UNDEAD	TVL	%	reinvest	UNDEAD	USDC	TVL	%	reinvest
price			$76,885.00	$2,472.46	$0.000507				$76,885.00	$7.46	$0.000507				$76,885.00	$1.00	$0.000507				$76,885.00	$0.000507				$2,472.46	$0.000507				$7.46	$0.000507				$0.000507	$1.00			
																																								
pool totals			0.37477	19.39516	692402.5357	n/a	$77,118.81	100.00%	0.06035	717.26539	104000	n/a	$10,043.32	100.00%	0.0918	44665.03	0	n/a	$51,720.45	100.00%	0.0164	26031613	$14,461.22	100.00%	n/a	0.5243	19896062	$11,383.63	100.00%	n/a	264.08783	18244470	$11,220.04	100.00%	n/a	2066814	17524.07	$18,571.95	100.00%	n/a
investor	α	0x7936d509aC3A6C966FBA98a4f7D6943D00be60cf	0.02960519129	0.3165622629	0	100%	$3,058.88	3.97%	0.2711225125	120.1498073	0	100%	$21,741.57	216.48%	0.35420	1006.79	0	100%	$28,239.55	54.60%	0.00074062	837864	$481.74	3.33%	100%	0.0007	828776	$421.92	3.71%	100%	1.2285	812820	$421.26	3.75%	100%	912853	3.34	$466.16	2.51%	100%
	τ	0x5F8b00A18111BAcceD63065cdce2b8DbA073B074	0	0	526000	0%	$266.68	0.35%	0	0	104000	0%	$52.73	0.53%	0.00000	0.00	0	n/a	$0.00	0.00%	0	118598	$60.13	0.42%	0%	0	118598	$60.13	0.53%	0%	0	118598	$60.13	0.54%	0%	118598	0.00	$60.13	0.32%	0%
	δ	0xC8c7AF369A85e3F4f0245435fDd7b806b92cEfCb	0	0	0	n/a	$0.00	0.00%	0	0	0	n/a	$0.00	0.00%	0.00000	0.00	0	n/a	$0.00	0.00%	0.00009427	107005	$61.50	0.43%	100%	0.0001	104627	$53.29	0.47%	100%	0	0	$0.00	0.00%	n/a	0	0.00	$0.00	0.00%	n/a
	ι	0x60232ecb50491b10ea0edaeb66519e92d9af8628	0.50199	0.3191851085	0	100%	$39,384.67	51.07%	0	0	0	n/a	$0.00	0.00%	0.00000	0.00	0	n/a	$0.00	0.00%	0.00028331	320444	$184.25	1.27%	100%	0.0003	312779	$159.32	1.40%	100%	0.4601	304413	$157.77	1.41%	100%	0	0.00	$0.00	0.00%	n/a
	φ	0x4aff0e159a30237bd8723efaab414c54e452d6ed	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00031	10527427	$5,361.09	37.07%	100%	0.00860	10686388	$5,439.26	47.78%	100%	1.93520	10399000	$5,286.73	47.12%	100%	9916865	36.3038	$5,064.15	27.27%	100%
	ψ	0x626bc0872553994b0837e9513b0762072fb3afed	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00031	10528437	$5,361.60	37.08%	100%	0.00860	10686388	$5,439.26	47.78%	100%	1.93520	10399000	$5,286.73	47.12%	100%	9916865	36.3038	$5,064.15	27.27%	100%
	π	0x7d33f8dA3130cb440987c665feFfB08e210bfcF8	0.00000	0	166403	100%	$84.37	0.11%	0.00000	0.59	166403	100%	$88.77	0.88%	0.00000	0	0	n/a	$0.00	0.00%	0.00001	170907	$87.03	0.60%	100%	0.00000	0	$0.00	0.00%	n/a	0.00000	0	$0.00	0.00%	n/a	0.00000	0	$0.00	0.00%	n/a
	σ	0x4EE3544464c491615D232B2D856D8171BfBd88c8	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	0	n/a	$0.00	0.00%	0.00000	0	$0.00	0.00%	n/a	0.00000	0	$0.00	0.00%	n/a	0.00000	0	$0.00	0.00%	n/a	0.00000	0	$0.00	0.00%	n/a
	ω	0xF8eFB9Fe5786644Ee126bb841Ef434a86F368810	0.00334	0.3899659462	0	100%	$1,220.71	1.58%	0.00215	61.91342	0	100%	$627.05	6.24%	0.00284	847.52	0	100%	$1,065.91	2.06%	0.00135	284363	$248.15	1.72%	100%	0.0089	301809	$175.02	1.54%	100%	4.2885	95333	$80.33	0.72%	100%	160116	37.90	$119.08	0.64%	100%
	γ	0xBB30A69e789ec896d7e1CF2Ff1255dc49D033280	0.21528	6.69445	0	0%	$33,103.50	42.93%	-0.08107	-835.57614	0	0%	-$12,466.80	-124.13%	0.14577	11207.50	0	0%	$22,415.00	43.34%	0.01701	2579619	$2,615.73	18.09%	0%	-0.07372713551	-359541	-$364.57	-3.20%	0%	-4.8865	-71900	-$72.91	-0.65%	0%	7690601	3899.13	$7,798.27	41.99%	0%
