date	rank	quote	market cap	24-hr volume	24-hr volume δ	vol δ%	price δ%	vol ^ 5%	vol ^ 10%	price ^ 10%	correspondence 5%	correspondence 10%	n
2026-01-23	9169	$0.002035	$30,537	$65,192	$349	0.54%	-0.64%	0	0	0	0	0	410
2026-01-22	9178	$0.002048	$30,725	$64,843	-$888	-1.37%	0.98%	0	0	0	0	0	409
2026-01-21	9121	$0.002028	$30,740	$65,731	$1,691	2.57%	1.23%	0	0	0	0	0	408
2026-01-20	9173	$0.002003	$30,021	$64,040	-$2,134	-3.33%	-1.85%	0	0	0	0	0	407
2026-01-19	9256	$0.002040	$30,240	$66,173	$1,037	1.57%	-0.83%	0	0	0	0	0	406
2026-01-18	9264	$0.002057	$30,744	$65,136	$4,636	7.12%	1.46%	1	0	0	0	0	405
2026-01-17	9281	$0.002027	$30,400	$60,501	-$8,458	-13.98%	-0.54%	0	0	0	0	0	404
2026-01-16	9270	$0.002038	$30,833	$68,959	-$9,686	-14.05%	-0.83%	0	0	0	0	0	403
2026-01-15	9184	$0.002055	$30,854	$78,645	$9,891	12.58%	11.97%	1	1	1	1	1	402
2026-01-14	9401	$0.001809	$27,137	$68,754	$2,468	3.59%	2.43%	0	0	0	0	0	401
2026-01-13	9406	$0.001765	$26,471	$66,286	-$4,753	-7.17%	-1.81%	0	0	0	0	0	400
2026-01-12	9385	$0.001797	$26,583	$71,039	-$9,821	-13.83%	1.11%	0	0	0	0	0	399
2026-01-11	9398	$0.001777	$26,765	$80,861	$13,911	17.20%	-0.79%	1	1	0	0	0	398
2026-01-10	9387	$0.001791	$26,901	$66,950	-$972	-1.45%	-0.28%	0	0	0	0	0	397
2026-01-09	9384	$0.001796	$26,773	$67,922	$1,862	2.74%	1.50%	0	0	0	0	0	396
2026-01-08	9394	$0.001769	$26,613	$66,059	-$3,048	-4.61%	-1.07%	0	0	0	0	0	395
2026-01-07	9370	$0.001788	$26,956	$69,108	$5,282	7.64%	-0.34%	1	0	0	0	0	394
2026-01-06	9398	$0.001794	$26,905	$63,826	-$5,170	-8.10%	-1.11%	0	0	0	0	0	393
2026-01-05	9391	$0.001814	$26,617	$68,996	-$1,295	-1.88%	2.48%	0	0	0	0	0	392
2026-01-04	9335	$0.001769	$26,793	$70,291	$3,535	5.03%	4.69%	1	0	0	0	0	391
2026-01-03	9389	$0.001686	$25,403	$66,756	$1,600	2.40%	-0.53%	0	0	0	0	0	390
2026-01-02	9423	$0.001695	$25,278	$65,156	$4,361	6.69%	0.53%	1	0	0	0	0	389
2026-01-01	9360	$0.001686	$25,043	$60,795	-$7,443	-12.24%	1.13%	0	0	0	0	0	388
2025-12-31	9368	$0.001667	$25,137	$68,238	$3,245	4.76%	-1.44%	0	0	0	0	0	387
2025-12-30	9376	$0.001691	$25,170	$64,993	-$758	-1.17%	1.60%	0	0	0	0	0	386
2025-12-29	9387	$0.001664	$24,980	$65,751	$3,011	4.58%	-1.98%	0	0	0	0	0	385
2025-12-28	9325	$0.001697	$25,445	$62,741	-$2,218	-3.54%	0.94%	0	0	0	0	0	384
2025-12-27	9320	$0.001681	$25,326	$64,959	-$4,522	-6.96%	0.65%	0	0	0	0	0	383
2025-12-26	9348	$0.001670	$25,049	$69,481	$4,884	7.03%	2.34%	1	0	0	0	0	382
2025-12-25	9335	$0.001631	$24,471	$64,597	$4,768	7.38%	0.25%	1	0	0	0	0	381
2025-12-24	9376	$0.001627	$24,419	$59,829	-$3,958	-6.62%	-1.97%	0	0	0	0	0	380
2025-12-23	9345	$0.001659	$24,890	$63,787	-$6,798	-10.66%	0.12%	0	0	0	0	0	379
2025-12-22	9368	$0.001657	$24,858	$70,585	$1,816	2.57%	-0.72%	0	0	0	0	0	378
2025-12-21	9361	$0.001669	$24,700	$68,769	$8,624	12.54%	0.84%	1	1	0	0	0	377
2025-12-20	9337	$0.001655	$25,193	$60,145	-$8,859	-14.73%	-0.48%	0	0	0	0	0	376
2025-12-19	9323	$0.001663	$24,812	$69,004	$2,715	3.93%	-2.22%	0	0	0	0	0	375
2025-12-18	9269	$0.001700	$25,619	$66,290	-$275	-0.42%	2.76%	0	0	0	0	0	374
2025-12-17	9333	$0.001653	$25,224	$66,565	-$555	-0.83%	-1.81%	0	0	0	0	0	373
2025-12-16	9349	$0.001683	$25,215	$67,119	$3,399	5.06%	-0.12%	1	0	0	0	0	372
2025-12-15	9413	$0.001685	$25,168	$63,720	-$4,401	-6.91%	-1.66%	0	0	0	0	0	371
2025-12-14	9394	$0.001713	$25,791	$68,121	-$3,147	-4.62%	5.31%	0	0	0	0	0	370
2025-12-13	9519	$0.001622	$24,111	$71,268	$5,578	7.83%	13.69%	1	0	1	1	0	369
2025-12-12	9803	$0.001400	$20,985	$65,691	-$974	-1.48%	-1.07%	0	0	0	0	0	368
2025-12-11	9779	$0.001415	$21,038	$66,665	$1,034	1.55%	-1.13%	0	0	0	0	0	367
